,pnl,actual_loss,VaR_DN_full,VaR_DN_nodrift,mu_deltaV,sigma_deltaV,portfolio_value_linear,exception
2018-12-31,8320.054047981348,-8320.054047981348,14018.32598084833,14301.49996825191,283.17398740358,6147.618818251099,1886780.688823527,0
2019-01-01,1103.6025705204495,-1103.6025705204495,14108.984262083322,14412.45943322022,303.47517113689736,6195.315667981305,1895100.7428715085,0
2019-01-02,1331.6368070620729,-1331.6368070620729,14097.675139559344,14385.09667052492,287.4215309655761,6183.553556647641,1896204.3454420287,0
2019-01-03,-9613.598289327254,9613.598289327254,14106.351600679149,14397.071342628553,290.71974194940384,6188.700969137946,1897535.982249091,0
2019-01-04,14259.49584428684,-14259.49584428684,13989.123363563249,14251.506885373654,262.38352181040506,6126.1288753942645,1887922.3839597635,0
2019-01-07,6257.912889441296,-6257.912889441296,14296.370150422323,14579.689625213661,283.31947479133885,6267.200958164911,1902181.8798040503,0
2019-01-08,4921.8571914485,-4921.8571914485,14375.428317900702,14654.59541337466,279.1670954739585,6299.399834780423,1908439.7926934916,0
2019-01-09,6519.518199504527,-6519.518199504527,14450.491177475265,14743.773234072713,293.28205659744776,6337.733663393575,1913361.6498849401,0
2019-01-10,791.8829699008968,-791.8829699008968,14524.873074728455,14822.79426963599,297.92119490753424,6371.701513363501,1919881.168084445,0
2019-01-11,1636.111109308516,-1636.111109308516,14527.776128506079,14833.629215887377,305.85308738129766,6376.359005208247,1920673.051054346,0
2019-01-14,-3991.321322794763,3991.321322794763,14537.870910319773,14840.906274439994,303.03536412022174,6379.48710940703,1922309.1621636543,0
2019-01-15,6433.491744260116,-6433.491744260116,14495.55139642461,14793.098407554067,297.5470111294573,6358.93649983595,1918317.8408408593,0
2019-01-16,2034.5873646483196,-2034.5873646483196,14602.979004881323,14913.057970323734,310.0789654424118,6410.5021165299395,1924751.3325851196,0
2019-01-17,3137.0594846899476,-3137.0594846899476,14636.990123500864,14942.083666128365,305.0935426275009,6422.9790535042075,1926785.9199497679,0
2019-01-18,2346.991556531101,-2346.991556531101,14704.41987861816,15007.266123559328,302.8462449411677,6450.998275460785,1929922.9794344576,0
2019-01-21,-562.2406686277682,562.2406686277682,14800.644269097083,15107.112387895428,306.4681187983447,6493.918023384241,1932269.9709909891,0
2019-01-22,-5617.785937825217,5617.785937825217,14798.234648879083,15105.52801121716,307.2933623380768,6493.236965879494,1931707.7303223612,0
2019-01-23,290.53272996117107,-290.53272996117107,14702.105710923768,14987.956660000644,285.8509490768753,6442.697941802971,1926089.944384536,0
2019-01-24,1375.6410123957317,-1375.6410123957317,14715.093528710297,15003.090229842652,287.99670113235504,6449.2032327832585,1926380.4771144972,0
2019-01-25,11486.529881019322,-11486.529881019322,14711.123908422576,14988.352320243368,277.2284118207917,6442.868019652093,1927756.1181268927,0
2019-01-28,-972.4871893421341,972.4871893421341,14872.063106161033,15159.58866376339,287.52555760235805,6516.475387419746,1939242.648007912,0
2019-01-29,3979.426320300125,-3979.426320300125,14800.935342808243,15093.490821268468,292.5554784602245,6488.062679573042,1938270.1608185703,0
2019-01-30,15195.481403349706,-15195.481403349706,14806.807321115852,15109.007761210325,302.2004400944742,6494.732765382223,1942249.5871388703,0
2019-01-31,9456.521913481996,-9456.521913481996,15041.288405869225,15366.984064738243,325.6956588690181,6605.626027050701,1957445.0685422202,0
2019-02-01,-4027.850549406159,4027.850549406159,15049.060973172813,15423.387314979096,374.3263418062827,6629.871433711606,1966901.5904557018,0
2019-02-04,1479.8588388327644,-1479.8588388327644,15058.588460439527,15424.662541596668,366.07408115714196,6630.4196004891555,1962873.7399062957,0
2019-02-05,4811.06263137464,-4811.06263137464,15099.101238642452,15476.65077327928,377.54953463682864,6652.767174668726,1964353.5987451286,0
2019-02-06,-5084.653079147137,5084.653079147137,15106.49028987825,15511.650166896576,405.1598770183259,6667.811955377511,1969164.6613765033,0
2019-02-07,-4732.1030332411265,4732.1030332411265,15054.524175092583,15461.839345831708,407.3151707391237,6646.400359278452,1964080.0082973558,0
2019-02-08,3093.5674516261024,-3093.5674516261024,14966.293714967196,15369.723007338293,403.4292923710967,6606.8033843284375,1959347.9052641145,0
2019-02-11,-3470.486301718622,3470.486301718622,14991.682071795538,15391.222860157139,399.5407883616001,6616.045275044249,1962441.472715741,0
2019-02-12,8631.698960435377,-8631.698960435377,14992.233777068841,15380.8075556489,388.57377858005873,6611.568169696223,1958970.9864140223,0
2019-02-13,25.927561021243946,-25.927561021243946,15112.861828532268,15534.300905173483,421.4390766412151,6677.548563788344,1967602.6853744576,0
2019-02-14,2324.705533575297,-2324.705533575297,15041.569757671681,15423.89496997843,382.3252123067483,6630.089653439188,1967628.612935479,0
2019-02-15,11373.614096798776,-11373.614096798776,15036.306757600607,15418.038765286941,381.7320076863349,6627.572315100912,1969953.318469054,0
2019-02-18,55.67671129351904,-55.67671129351904,15200.329416684612,15604.00436491063,403.6749482260179,6707.511176222602,1981326.932565853,0
