,VaR_MC_GARCH_T_COPULA,actual_loss,exception
2022-08-05,56696.47879238362,3979.894106099573,0
2022-08-08,51252.28685826389,-185.12659273612556,0
2022-08-09,45591.348727273304,3479.792604919956,0
2022-08-10,42532.609283061975,-36642.796652326986,0
2022-08-11,56654.06709851336,26502.32853616487,0
2022-08-12,53150.86750842221,-26186.1749702094,0
2022-08-15,32461.09358371808,8421.433861290672,0
2022-08-16,30725.50398012797,-305.42608954958814,0
2022-08-17,28051.41348606178,12278.530411320466,0
2022-08-18,26622.909986850427,-801.5166443902249,0
2022-08-19,25495.09325009665,19660.96965088546,0
2022-08-22,27385.765415135047,22640.418389981005,0
2022-08-23,26235.041462756693,-1039.6657118188857,0
2022-08-24,24935.115718635596,-6338.417082573076,0
2022-08-25,24373.518688395896,-11119.589109496876,0
2022-08-26,25635.17753120867,37999.41509727129,1
2022-08-29,33448.96992002181,1482.405852415406,0
2022-08-30,29662.383514306697,14806.437169447578,0
2022-08-31,27101.22636014324,10301.872883866195,0
2022-09-01,25303.93913640948,-94.11775795162066,0
2022-09-02,23536.937805602513,4613.274876261552,0
2022-09-06,22423.475333367478,-689.461797206588,0
2022-09-07,19654.978919469202,-11696.176301089978,0
2022-09-08,22471.954935460126,291.45880804299486,0
2022-09-09,20878.49459766353,-16141.846019941697,0
2022-09-12,23260.697734930327,-15608.054882525394,0
2022-09-13,26035.017451206175,33626.04544205617,1
2022-09-14,31398.45897361606,5895.18666680575,0
2022-09-15,28566.301591607546,17225.151689621045,0
2022-09-16,29324.91876442722,-1558.1779196924344,0
2022-09-19,25972.637083091766,-5759.144192688062,0
2022-09-20,23400.12061134252,4072.904789180469,0
2022-09-21,22613.740532607495,6376.986396979846,0
2022-09-22,23372.842806731696,-2752.6059354859863,0
2022-09-23,22060.822256129897,56054.63970650208,1
2022-09-26,24489.67970921878,10558.46260003011,0
2022-09-27,38001.601650614626,-1201.0928150325751,0
2022-09-28,35131.81200964358,-19033.514444190118,0
2022-09-29,40301.212331549796,16540.9060547635,0
2022-09-30,38350.85985666362,8737.60468382875,0
2022-10-03,36062.246023718166,-30326.149897160343,0
2022-10-04,47757.483651577124,-40321.01382917624,0
2022-10-05,69298.99017538734,-1211.498364215856,0
2022-10-06,57859.989669204566,9634.846977346033,0
2022-10-07,52783.220269080375,37802.06792243105,0
2022-10-10,51547.95787932086,21558.66767217209,0
2022-10-11,45172.05372527653,2937.995956852424,0
