date,manual_linear,ref_linear,abs_err_linear,manual_irs,ref_irs,abs_err_irs,manual_straddle,ref_straddle,abs_err_straddle,manual_total,ref_total,abs_err_total
2021-04-29,3939.0888030277424,3939.0888030277424,0.0,1962.282020388564,1962.282020388564,0.0,631.4211817285177,631.4211817285177,0.0,6532.792005144824,6532.792005144824,0.0
2021-04-30,-9766.597682581187,-9766.597682581187,0.0,0.0,0.0,0.0,458.1402950941556,458.1402950941556,0.0,-9308.457387487031,-9308.457387487031,0.0
2021-05-03,11320.451839190086,11320.451839190086,0.0,-1962.282020388564,-1962.282020388564,0.0,-1143.981962339014,-1143.981962339014,0.0,8214.187856462508,8214.187856462508,0.0
2021-05-04,-11337.296145409568,-11337.296145409568,0.0,-1966.3572885261237,-1966.3572885261237,0.0,974.3440826564984,974.3440826564984,0.0,-12329.309351279193,-12329.309351279193,0.0
2021-05-05,3253.227467976676,3253.227467976676,0.0,-1970.4419861400092,-1970.4419861400092,0.0,-1407.075004793849,-1407.075004793849,0.0,-124.28952295718227,-124.28952295718227,0.0
2021-05-06,22091.730790647773,22091.730790647773,0.0,-986.7557079046965,-986.7557079046965,0.0,-1582.7332973067896,-1582.7332973067896,0.0,19522.241785436287,19522.241785436287,0.0
2021-05-07,16800.19967538135,16800.19967538135,0.0,1972.4878784493776,1972.4878784493776,0.0,-2310.675167742491,-2310.675167742491,0.0,16462.012386088238,16462.012386088238,0.0
2021-05-10,-7627.190059169581,-7627.190059169581,0.0,2951.067104121452,2951.067104121452,0.0,2380.1649276026656,2380.1649276026656,0.0,-2295.958027445464,-2295.958027445464,0.0
2021-05-11,-11308.557914218125,-11308.557914218125,0.0,981.6498302988039,981.6498302988039,0.0,2189.2950877924013,2189.2950877924013,0.0,-8137.61299612692,-8137.61299612692,0.0
2021-05-12,-33958.15051692436,-33958.15051692436,0.0,4893.008025528237,4893.008025528237,0.0,9879.411698276723,9879.411698276723,0.0,-19185.7307931194,-19185.7307931194,0.0
2021-05-13,16637.27658525152,16637.27658525152,0.0,-2932.7601105883223,-2932.7601105883223,0.0,-9458.516944534778,-9458.516944534778,0.0,4245.999530128418,4245.999530128418,0.0
2021-05-14,25284.60842800245,25284.60842800245,0.0,-2941.897745238719,-2941.897745238719,0.0,-7987.8416587275715,-7987.8416587275715,0.0,14354.869024036161,14354.869024036161,0.0
2021-05-17,7654.81828841621,7654.81828841621,0.0,981.6498302988039,981.6498302988039,0.0,130.01435690835933,130.01435690835933,0.0,8766.482475623372,8766.482475623372,0.0
2021-05-18,-7848.085115835031,-7848.085115835031,0.0,0.0,0.0,0.0,1432.275095654746,1432.275095654746,0.0,-6415.8100201802845,-6415.8100201802845,0.0
2021-05-19,-2432.5104929623812,-2432.5104929623812,0.0,3916.4346613909,3916.4346613909,0.0,113.30522303564067,113.30522303564067,0.0,1597.2293914641596,1597.2293914641596,0.0
2021-05-20,16609.14514933493,16609.14514933493,0.0,-4898.084491689704,-4898.084491689704,0.0,-3997.2246159783826,-3997.2246159783826,0.0,7713.836041666844,7713.836041666844,0.0
2021-05-21,734.3789487853511,734.3789487853511,0.0,0.0,0.0,0.0,-1937.496662263471,-1937.496662263471,0.0,-1203.11771347812,-1203.11771347812,0.0
2021-05-24,12392.055868547388,12392.055868547388,0.0,-1966.3572885261237,-1966.3572885261237,0.0,-2560.4336868904065,-2560.4336868904065,0.0,7865.264893130858,7865.264893130858,0.0
2021-05-25,7546.4873942740405,7546.4873942740405,0.0,-4933.7844590508175,-4933.7844590508175,0.0,-1306.3554822434162,-1306.3554822434162,0.0,1306.3474529798068,1306.3474529798068,0.0
2021-05-26,905.2013338661834,905.2013338661834,0.0,1976.5867650061118,1976.5867650061118,0.0,-2475.9398249559017,-2475.9398249559017,0.0,405.84827391639374,405.84827391639374,0.0
2021-05-27,-1138.2885547483072,-1138.2885547483072,0.0,2957.1976940447057,2957.1976940447057,0.0,-1873.1319110207787,-1873.1319110207787,0.0,-54.22277172438021,-54.22277172438021,0.0
2021-05-28,5129.2744856429845,5129.2744856429845,0.0,-2957.1976940447057,-2957.1976940447057,0.0,-1098.2728315292716,-1098.2728315292716,0.0,1073.8039600690072,1073.8039600690072,0.0
2021-06-01,-2517.9554462287297,-2517.9554462287297,0.0,3940.8863356091897,3940.8863356091897,0.0,-1566.7653230128162,-1566.7653230128162,0.0,-143.8344336323562,-143.8344336323562,0.0
2021-06-02,6121.59421688441,6121.59421688441,0.0,-2954.1306277044932,-2954.1306277044932,0.0,-1748.6137608899808,-1748.6137608899808,0.0,1418.8498282899363,1418.8498282899363,0.0
2021-06-03,-22092.809503800436,-22092.809503800436,0.0,3936.799274666133,3936.799274666133,0.0,29185.391743134514,29185.391743134514,0.0,11029.381514000212,11029.381514000212,0.0
2021-06-04,20333.042710883805,20333.042710883805,0.0,-6900.141747576941,-6900.141747576941,0.0,-3269.005370084982,-3269.005370084982,0.0,10163.895593221881,10163.895593221881,0.0
