refit_idx,date,t,mu,omega,alpha1,beta,alpha_plus_beta,raw_mu,raw_omega,raw_alpha1,raw_beta,raw_alpha_plus_beta,nu,loglikelihood,convergence_flag,optimizer_warning_count,stationarity_fallback_used
39,2015-10-13,2450,0.0004153427862152415,6.473013713265283e-07,0.05353305258013731,0.9402768972061901,0.9938099497863274,0.0004153427862152415,6.473013713265283e-07,0.05353305258013731,0.9402768972061901,0.9938099497863274,6.482901371200927,-3006.934568230518,0,0,0
40,2015-12-23,2500,0.0003853789134464724,6.651840738902817e-07,0.05375559866995329,0.9399287536181578,0.993684352288111,0.0003853789134464724,6.651840738902817e-07,0.05375559866995329,0.9399287536181578,0.993684352288111,6.5291896829055425,-3066.6707849110026,0,0,0
41,2016-03-08,2550,0.000399550014234933,6.76236007612438e-07,0.053208428811508654,0.9399586349584229,0.9931670637699316,0.000399550014234933,6.76236007612438e-07,0.053208428811508654,0.9399586349584229,0.9931670637699316,6.623819857304088,-3118.233899693424,0,0,0
42,2016-05-18,2600,0.0004005024932331699,6.620619585509304e-07,0.05199425507404008,0.9410543187258192,0.9930485737998593,0.0004005024932331699,6.620619585509304e-07,0.05199425507404008,0.9410543187258192,0.9930485737998593,6.651104060217193,-3169.1051400647284,0,0,0
43,2016-07-29,2650,0.0004119153002288508,6.502747780761628e-07,0.051665503563148786,0.9413052521681751,0.9929707557313239,0.0004119153002288508,6.502747780761628e-07,0.051665503563148786,0.9413052521681751,0.9929707557313239,6.686446236741055,-3212.601879371665,0,0,0
44,2016-10-10,2700,0.0003915562939883558,6.38830351572938e-07,0.0511808657792335,0.9418609715961657,0.9930418373753992,0.0003915562939883558,6.38830351572938e-07,0.0511808657792335,0.9418609715961657,0.9930418373753992,6.644941852096529,-3252.873204038038,0,0,0
45,2016-12-20,2750,0.0003937497789246151,5.828647055518042e-07,0.049920832862211835,0.9436844903913991,0.993605323253611,0.0003937497789246151,5.828647055518042e-07,0.049920832862211835,0.9436844903913991,0.993605323253611,6.534782003116059,-3289.779023318233,0,0,0
46,2017-03-06,2800,0.000439342040718287,5.502955012551371e-07,0.04995853004803505,0.9440353192320329,0.993993849280068,0.000439342040718287,5.502955012551371e-07,0.04995853004803505,0.9440353192320329,0.993993849280068,6.487331124625566,-3323.871645680788,0,0,0
47,2017-05-16,2850,0.0004225847319641236,4.839254683120071e-07,0.04971922999608064,0.9450561116330133,0.9947753416290939,0.0004225847319641236,4.839254683120071e-07,0.04971922999608064,0.9450561116330133,0.9947753416290939,6.484120647416126,-3351.782433375086,0,0,0
48,2017-07-27,2900,0.00045539718347973007,4.207362272817318e-07,0.04864814752720493,0.9468118175295405,0.9954599650567454,0.00045539718347973007,4.207362272817318e-07,0.04864814752720493,0.9468118175295405,0.9954599650567454,6.514137228658561,-3379.837651656162,0,0,0
49,2017-10-06,2950,0.0004721244586567852,2.948185363275741e-07,0.048979858279489856,0.94849728408017,0.9974771423596598,0.0004721244586567852,2.948185363275741e-07,0.048979858279489856,0.94849728408017,0.9974771423596598,6.432973907107376,-3394.3158965545254,0,0,0
50,2017-12-18,3000,0.0004770415667976579,3.123881743160553e-07,0.048909883847031196,0.9481102652416664,0.9970201490886976,0.0004770415667976579,3.123881743160553e-07,0.048909883847031196,0.9481102652416664,0.9970201490886976,6.552423119932636,-3420.62406822136,0,0,0
51,2018-03-02,3050,0.0004992572401436923,3.635771540685034e-07,0.05184874766812357,0.9448813005117236,0.9967300481798471,0.0004992572401436923,3.635771540685034e-07,0.05184874766812357,0.9448813005117236,0.9967300481798471,6.591208096744621,-3481.01339246078,0,0,0
52,2018-05-14,3100,0.0004946727135572196,3.61934642512043e-07,0.05127049095262955,0.9451699909156246,0.9964404818682542,0.0004946727135572196,3.61934642512043e-07,0.05127049095262955,0.9451699909156246,0.9964404818682542,6.647286552106521,-3526.0194436771953,0,0,0
53,2018-07-25,3150,0.0004822411849000413,3.617621910214919e-07,0.05030309472996124,0.9461616133537433,0.9964647080837045,0.0004822411849000413,3.617621910214919e-07,0.05030309472996124,0.9461616133537433,0.9964647080837045,6.579705462691533,-3578.627005588646,0,0,0
