,VaR,VaR_nodrift,ES,ES_nodrift,actual_loss,exception,mu_deltaV,sigma_deltaV
2021-06-16,11599.79518082563,12025.672306092141,13351.508964348406,13777.386089614918,17249.97674058992,1,425.877125266512,5169.335351898029
2021-06-17,11643.528445209007,12051.78468063297,13399.045875233984,13807.302110657947,32529.592210438605,1,408.25623542396323,5180.559973474282
2021-06-18,11706.140684496055,12082.536941611766,13466.137627853834,13842.533884969545,21701.56019125609,1,376.3962571157123,5193.7790888619475
2021-06-21,11726.050877812731,12094.760871878625,13487.828414104713,13856.538408170607,-23027.7780305608,0,368.70999406589385,5199.0336470487355
2021-06-22,11707.494203648886,12094.60596779816,13469.249175912351,13856.360940061624,-680.9566555402171,0,387.11176414927263,5198.967060240205
2021-06-23,11707.436706828941,12094.665983360925,13469.200421230544,13856.429697762527,1956.3135887603169,0,387.2292765319838,5198.992858429476
2021-06-24,11711.522020458466,12093.766178505191,13473.154665217711,13855.398823264437,-5366.119056135525,0,382.24415804672657,5198.606069821558
2021-06-25,11697.652328533635,12088.549990773792,13458.525159811026,13849.422822051183,-10547.488674395116,0,390.8976622401576,5196.36384810158
2021-06-28,11695.844840175643,12078.784724090145,13455.295218569394,13838.235102483895,624.6863810325767,0,382.93988391450074,5192.166166923878
2021-06-29,11696.308735569435,12076.278240180069,13455.394008187666,13835.3635127983,7837.279811754243,0,379.96950461063307,5191.088733949195
2021-06-30,11684.570691380815,12068.689028287532,13442.550485091933,13826.66882199865,-415.2938337282194,0,384.11833690671597,5187.826448038638
2021-07-01,11662.409375777175,12058.095566822349,13418.846078009376,13814.532269054549,-12600.685358870423,0,395.6861910451727,5183.27276043955
2021-07-02,11661.903095454165,12058.260084160842,13418.363762025501,13814.720750732178,-15552.148404485944,0,396.3569887066765,5183.3434795870735
2021-07-06,11660.358647761504,12055.023015269004,13416.34778824667,13811.01215575417,3438.519113789138,0,394.6643675074994,5181.951998576017
2021-07-07,11652.231611070676,12054.696455338542,13408.173183360339,13810.638027628205,-5547.615479291589,0,402.46484426786594,5181.811624071368
2021-07-08,11652.574394747313,12052.888849823037,13408.252663047302,13808.567118123026,17130.03666842623,1,400.314455075724,5181.034609792602
2021-07-09,11662.021975503285,12055.79320312263,13418.12330503242,13811.894532651766,-26412.292521966425,0,393.771227619345,5182.283070236546
2021-07-12,11644.228817782448,12052.168514717026,13399.80215881502,13807.741855749598,-7047.228982519803,0,407.9396969345778,5180.72496775065
2021-07-13,11645.435362742828,12050.454341277984,13400.759009524292,13805.777988059448,3544.47246890491,0,405.01897853515607,5179.988116027754
2021-07-14,11649.418156512738,12040.662293056897,13403.315449290767,13794.559585834926,-6689.385436016075,0,391.24413654415855,5175.778922583233
2021-07-15,11624.36735721859,12029.754939272958,13376.675835543776,13782.063417598143,9408.186563390744,0,405.38758205436716,5171.0903057578425
2021-07-16,11621.19244700779,12030.052686936975,13373.544296603519,13782.404536532704,9022.40344606302,0,408.8602399291845,5171.218295069905
2021-07-19,11642.82555628806,12042.513976857086,13396.99257369794,13796.680994266966,15411.473341949488,1,399.6884205690257,5176.574884279612
2021-07-20,11649.074240675645,12043.106051405064,13403.32750234033,13797.359313069748,-11130.020724381471,0,394.0318107294188,5176.829392452953
2021-07-21,11631.642514869594,12037.85395724386,13385.130732759562,13791.342175133828,-6318.7097390806375,0,406.2114423742664,5174.57173605521
2021-07-22,11636.119457198978,12036.954029868557,13389.476587599836,13790.311160269415,-1427.3987484562622,0,400.8345726695793,5174.184894781235
2021-07-23,11635.427216404903,12037.56654590987,13388.87356866088,13791.012898165845,-11808.563876230832,0,402.13932950496576,5174.448189900657
