,VaR_MC_GARCH_COPULA,actual_loss,exception
2013-03-07,12943.301682989244,-54.668093750568914,0
2013-03-08,13464.320896589332,-8859.872591764093,0
2013-03-11,14415.71297821742,-2119.72762205662,0
2013-03-12,14038.126403115684,-2542.1944690539194,0
2013-03-13,13411.38506225425,1133.6836256958811,0
2013-03-14,14008.346948310975,904.2029525444946,0
2013-03-15,13946.277016069826,-589.0304867766495,0
2013-03-18,12461.816589055996,107.38510807148076,0
2013-03-19,12220.08832327368,-1564.0115702513704,0
2013-03-20,12890.725213805426,1654.849200182705,0
2013-03-21,11892.160620356988,-3633.0637674092513,0
2013-03-22,12286.331720368438,3537.8252563200444,0
2013-03-25,11762.956496261953,195.53704142528204,0
2013-03-26,12296.787332920017,4344.611510927409,0
2013-03-27,12025.208662789335,-65.78519073131429,0
2013-03-28,12561.630198815697,6006.598795675633,0
2013-04-01,12082.0852003243,260.86486094265297,0
2013-04-02,11826.416406527378,7234.044035395107,0
2013-04-03,10804.795874784673,14905.892798450312,1
2013-04-04,13580.494050537083,3598.676062955202,0
2013-04-05,13286.927364863377,-7195.771211444424,0
2013-04-08,13250.156550511005,-2625.1791360086254,0
2013-04-09,13860.24827069506,-9368.979742461384,0
2013-04-10,15362.162974146495,2054.003058113405,0
2013-04-11,15018.088703075271,-846.1659107133319,0
2013-04-12,14557.70503181696,38152.408839938726,1
2013-04-15,15114.030967212393,69834.8181537307,1
2013-04-16,23859.345267632267,-11822.690080829148,0
2013-04-17,22134.424865156503,3293.9499313824376,0
2013-04-18,20812.66621921292,-1069.9710196143783,0
2013-04-19,20746.785872507604,-8075.953988227437,0
2013-04-22,20302.143626684287,-11706.146346223764,0
2013-04-23,21067.681494753502,-849.4355649462445,0
2013-04-24,20809.79654831718,-4797.891396706194,0
2013-04-25,19935.026004963245,-18335.81644774851,0
2013-04-26,20585.12328891322,1209.0667096336356,0
2013-04-29,20390.355845271486,-9645.834929320308,0
2013-04-30,20706.450601271717,-3940.0483200614,0
2013-05-01,18991.212777969296,11891.423509965754,0
2013-05-02,19732.67950834601,-7030.711399346435,0
2013-05-03,20775.53377649936,-10432.481321071811,0
