,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2016-04-22,-7911.6583100464195,7911.6583100464195,21204.136855623918,23119.61545228055,5,2016-04-21,1660299.2804390383,1.0079451800682822,0
2016-04-25,1523.6515160896815,-1523.6515160896815,20938.34668257879,23016.62134117838,5,2016-04-22,1652387.6221289919,1.0077996966466054,0
2016-04-26,5244.139402135508,-5244.139402135508,20604.109559681732,22802.140162491192,5,2016-04-25,1653911.2736450816,1.0078376104095759,0
2016-04-27,-1413.349016556982,1413.349016556982,20358.227420537965,22736.997706987102,5,2016-04-26,1659155.413047217,0.991259009704934,0
2016-04-28,6480.300180043327,-6480.300180043327,20629.198655763175,22888.45963685438,5,2016-04-27,1657742.06403066,0.9902836150586486,0
2016-04-29,8314.286445186473,-8314.286445186473,19513.30898867757,22666.951808606555,5,2016-04-28,1664222.3642107034,0.976925091847941,0
2016-05-02,6180.710479247151,-6180.710479247151,19421.2189478823,22954.428153963898,5,2016-04-29,1672536.65065589,0.9798668938241807,0
2016-05-03,-7468.773151090369,7468.773151090369,20040.522196146427,23216.77344577266,5,2016-05-02,1678717.361135137,0.9763602037453337,0
2016-05-04,-7210.279338460648,7210.279338460648,19046.427490896545,22556.023934048506,5,2016-05-03,1671248.5879840467,0.971168874210857,0
2016-05-05,-3014.670612547314,3014.670612547314,18487.71208331827,22012.55694686142,5,2016-05-04,1664038.308645586,0.9477560421945771,0
2016-05-06,5560.798501559533,-5560.798501559533,18483.213935509324,21995.18291754839,5,2016-05-05,1661023.6380330387,0.9479510181606514,0
2016-05-09,-13425.111594929593,13425.111594929593,18662.32332895929,22221.631887144827,5,2016-05-06,1666584.4365345982,0.9481631571148448,0
2016-05-10,5696.1641579500865,-5696.1641579500865,17485.910303271143,20800.477615155465,5,2016-05-09,1653159.3249396686,0.9220726370013598,0
2016-05-11,-1715.070822817972,1715.070822817972,18059.73788461415,21151.925717758575,5,2016-05-10,1658855.4890976187,0.8986107914834256,0
2016-05-12,-3059.7147407562006,3059.7147407562006,16711.429111008532,19879.35943633304,5,2016-05-11,1657140.4182748008,0.8766805979711724,0
2016-05-13,-3650.475671487162,3650.475671487162,16595.911827438744,19748.247967371764,5,2016-05-12,1654080.7035340446,0.871098260366897,0
2016-05-16,4360.273987019202,-4360.273987019202,15960.098336244002,18978.492500276818,5,2016-05-13,1650430.2278625574,0.864093506602115,0
2016-05-17,-816.62612610613,816.62612610613,16244.3893508818,19309.858889581123,5,2016-05-16,1654790.5018495766,0.8685800226953444,0
2016-05-18,-3066.6655627952423,3066.6655627952423,15703.506992121693,18650.33962184838,5,2016-05-17,1653973.8757234705,0.8624370861742746,0
2016-05-19,-5686.29078155593,5686.29078155593,15750.269587094896,18616.792397215682,5,2016-05-18,1650907.2101606752,0.8694385352175372,0
2016-05-20,275.75571646378376,-275.75571646378376,15651.224610652542,18503.759022179293,5,2016-05-19,1645220.9193791193,0.8736131698121535,0
2016-05-23,-2507.3727950777393,2507.3727950777393,15699.725935924565,18562.797745680342,5,2016-05-20,1645496.675095583,0.8684563581105432,0
2016-05-24,-5358.274034104543,5358.274034104543,15577.642114399467,18419.211130522377,5,2016-05-23,1642989.3023005053,0.8633203693682662,0
2016-05-25,-255.44729583151639,255.44729583151639,15992.719229273032,18848.731748600352,5,2016-05-24,1637631.0282664008,0.8637315103901025,0
2016-05-26,-4575.005145887379,4575.005145887379,16143.607731510187,19047.341307596675,5,2016-05-25,1637375.5809705693,0.8342845066161604,0
2016-05-27,-1422.4777717196848,1422.4777717196848,16179.069853204768,19012.062696011504,5,2016-05-26,1632800.575824682,0.8348667343030322,0
2016-05-31,-1067.5334917784203,1067.5334917784203,16565.878460404463,19254.33969563893,5,2016-05-27,1631378.0980529622,0.8318857130278889,0
2016-06-01,12455.362004886148,-12455.362004886148,5269.542540207272,7063.042173465388,5,2016-05-31,1630310.5645611838,0.8294102796908372,0
2016-06-02,-1776.6165716715623,1776.6165716715623,16204.472772141453,18296.671251768432,5,2016-06-01,1642765.92656607,0.8266007000996659,0
2016-06-03,6778.459299174603,-6778.459299174603,16356.88719383534,18314.727016100565,5,2016-06-02,1640989.3099943984,0.8153163644327451,0
2016-06-06,7812.07387098996,-7812.07387098996,16740.99855417665,19291.10222040727,5,2016-06-03,1647767.769293573,0.8372088002462664,0
2016-06-07,489.1926540280692,-489.1926540280692,17269.96418357594,19409.080863074447,5,2016-06-06,1655579.843164563,0.8461004049324319,0
2016-06-08,9394.143560899422,-9394.143560899422,16771.634011574322,18888.04530170034,5,2016-06-07,1656069.035818591,0.8174191824606161,0
2016-06-09,1353.9853312997147,-1353.9853312997147,17418.846092286054,19332.103808913518,5,2016-06-08,1665463.1793794904,0.8174893480503936,0
2016-06-10,-5438.2054544813,5438.2054544813,17222.07354825968,19348.096176836174,5,2016-06-09,1666817.1647107902,0.8175115271562792,0
