,VaR_MC_GARCH_COPULA_V3,actual_loss,exception
2021-07-29,39843.968022733265,-13933.214994240583,0
2021-07-30,38655.22348817996,14882.283013044016,0
2021-08-02,41078.471222567845,5021.295055145104,0
2021-08-03,38841.919394383694,-7201.001200123172,0
2021-08-04,40121.357010976695,8253.052124228698,0
2021-08-05,42531.1894881697,-6019.766431639629,0
2021-08-06,41807.233549170924,14415.439853281874,0
2021-08-09,46559.26493671497,15927.603033470325,0
2021-08-10,50598.47231713958,-3393.514953366199,0
2021-08-11,52950.1281589316,-12439.810913937834,0
2021-08-12,55878.32948351324,-5016.598761635145,0
2021-08-13,56434.32008884231,-9327.851905921558,0
2021-08-16,42863.12957257053,-7367.604034600197,0
2021-08-17,41859.1722211671,13009.883382641872,0
2021-08-18,45495.2476745161,15937.413198916647,0
2021-08-19,50838.244348537744,3402.5518524938107,0
2021-08-20,47033.898809562976,-11223.646280342264,0
2021-08-23,45510.74211954712,-24339.56656260626,0
2021-08-24,47013.334433277494,-6040.7022440743895,0
2021-08-25,44192.92310231946,-2751.5268260960856,0
2021-08-26,42892.38911113931,11817.966694846444,0
2021-08-27,44374.16781923747,-30878.10322359294,0
2021-08-30,48780.57855181789,-417.71557004824535,0
2021-08-31,46525.34909956461,313.2091995555579,0
2021-09-01,43294.887563507415,-767.8257602476169,0
2021-09-02,43556.10235200385,-1122.7028493816842,0
2021-09-03,41104.5417319671,-11071.90097078203,0
2021-09-07,40450.02121108569,14774.35660977324,0
2021-09-08,47991.26233014356,6952.513158515954,0
2021-09-09,45554.112912606965,5055.985972947421,0
2021-09-10,45854.1979435349,6290.439694126932,0
2021-09-13,51049.86631778033,101.92151080552684,0
2021-09-14,45434.05854152567,4695.296857961635,0
2021-09-15,47561.62796926177,-3359.9323614076666,0
2021-09-16,45234.262006452416,18015.142676353604,0
2021-09-17,48939.899114667125,8718.408384103212,0
2021-09-20,54796.85299581007,8108.528482854865,0
2021-09-21,59746.83070624354,-3106.132518448084,0
2021-09-22,53607.7203024972,1059.4724989872047,0
2021-09-23,51507.89020338279,-1891.5385105455864,0
2021-09-24,50140.93965958407,-3957.178004703144,0
2021-09-27,45464.76045292845,1798.6691143647213,0
2021-09-28,29904.217669493817,17369.603689146323,0
2021-09-29,78051.7071981099,2720.003371803451,0
2021-09-30,71375.67194428624,-1144.2949028619369,0
2021-10-01,63698.30566873442,-4023.476028724468,0
2021-10-04,60075.30887823083,2404.966681441605,0
2021-10-05,60678.51175737285,-3703.0837674879767,0
2021-10-06,55642.29016045202,-1822.2566475660387,0
2021-10-07,50687.58551966913,-880.4728080007044,0
2021-10-08,47363.722371348595,-502.7718655202452,0
2021-10-11,43857.69481657295,-13183.24758230615,0
2021-10-12,46982.25089093532,477.11721486966326,0
2021-10-13,43723.31868212926,-12324.154965990228,0
2021-10-14,45805.48723122209,-18206.08136283305,0
2021-10-15,58209.65413805264,-1301.4536197987363,0
2021-10-18,59114.43224916217,-1532.6031203424818,0
2021-10-19,54588.75329646373,-18038.413054797173,0
2021-10-20,57278.389234206305,-12957.951120821115,0
2021-10-21,56890.437474163286,-4963.146607809922,0
2021-10-22,54838.56470905047,-1677.0106449280047,0
2021-10-25,59289.06441864954,-13556.269717571584,0
2021-10-26,59234.273035588514,4860.927210733121,0
2021-10-27,54623.51038401592,11906.835091873863,0
2021-10-28,59623.60686668337,-18513.264390908676,0
2021-10-29,63277.32115723563,3424.7816930104964,0
2021-11-01,61180.25635174317,-7503.75171546415,0
2021-11-02,62783.80114667034,-6025.20845852258,0
2021-11-03,63022.37426626847,-7412.102662144721,0
2021-11-04,64714.3879474087,-15163.283070664354,0
2021-11-05,69754.40062970603,-11166.055695091534,0
2021-11-08,69944.90394331183,-8697.278615307374,0
2021-11-09,39217.37665785399,5328.934401847099,0
2021-11-10,40095.2150283864,2573.2728345181717,0
2021-11-11,41706.61940501135,-963.7417834008784,0
2021-11-12,40454.09694123647,-19618.192603820207,0
2021-11-15,40695.01730560759,-2142.232890077292,0
2021-11-16,37537.99846313547,-466.6229766849228,0
2021-11-17,36675.5535869475,-89.44772346775608,0
2021-11-18,36769.23223445002,-3910.0357648041786,0
2021-11-19,34779.53930742902,12744.227158800271,0
2021-11-22,34915.81906441742,36526.95264114385,1
2021-11-23,45569.34241547601,4273.297768306542,0
2021-11-24,45778.89705608103,1189.8117717316743,0
2021-11-26,46373.267955394804,16236.93771873993,0
2021-11-29,61951.87752968583,-4180.646705973653,0
2021-11-30,62285.06613110075,25505.702119319045,0
2021-12-01,72151.57552601615,-144.24698115980027,0
2021-12-02,65633.13683422256,-3599.727433704549,0
2021-12-03,65521.920023787985,4936.2734315030175,0
2021-12-06,59638.13217706793,-8018.005377170593,0
2021-12-07,55295.63234250874,-18455.429255181203,0
2021-12-08,68312.04740218364,-1158.3019934241274,0
2021-12-09,64000.44581527636,11776.874119852531,0
2021-12-10,58303.835046797205,-7584.468220453553,0
2021-12-13,56127.26838753685,11169.970609667678,0
2021-12-14,53394.88399856605,13561.075585193072,0
2021-12-15,56322.73871006399,-19272.64909604682,0
2021-12-16,59697.45068094858,2268.731300035295,0
2021-12-17,53916.56211129873,14838.501279238126,0
2021-12-20,58748.744469882986,13881.30452626394,0
2021-12-21,56430.46023434419,-17775.832801583765,0
2021-12-22,63699.34428842595,-14008.197869238693,0
2021-12-23,63107.78594359458,-12264.22717747408,0
2021-12-27,59100.013405455786,-21984.94695186785,0
2021-12-28,61186.64221343262,5129.905240919212,0
2021-12-29,55994.44731996657,-3736.246374839808,0
2021-12-30,52197.04121869747,859.2458411453936,0
2021-12-31,49358.55069820872,1989.9203813633403,0
2022-01-03,45737.72934160503,-5189.822758467388,0
