,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2016-09-07,8165.968950855329,9043.547087988436,9369.67992729254,10375.090062488287,877.5781371331068,3552.1703160039524,3929.4045838990473
2016-09-08,8140.704577508512,9029.795157365897,9342.504644701645,10361.104177064533,889.0905798573858,3546.5311923054314,3928.7141795441567
2016-09-09,8157.374251387786,9041.401826097377,9360.163745377358,10372.962772378103,884.0275747095911,3549.4510065839163,3929.4576189114377
2016-09-12,8220.76937091043,9084.451098158857,9429.869393164197,10419.358904600407,863.6817272484277,3568.073476277374,3939.334256698929
2016-09-13,8209.779106005597,9076.177451711023,9418.866197958943,10411.468042775572,866.3983457054255,3568.0353187543183,3940.4638602348755
2016-09-14,8246.419970794745,9094.242169052684,9459.180648109572,10430.500459878287,847.8221982579398,3578.8761278270877,3943.319557684928
2016-09-15,8246.231649787453,9091.589470265237,9459.010546768875,10427.507008351118,845.3578204777841,3578.9298943542008,3942.313990907829
2016-09-16,8229.528454216852,9083.001504142245,9441.338120163182,10419.131912194789,853.4730499253928,3576.069678089997,3942.9421735792116
2016-09-19,8234.929872978399,9085.442687347786,9446.873549316604,10421.275904501006,850.5128143693873,3576.46514489671,3942.065158488854
2016-09-20,8241.14835786605,9088.388207543907,9453.433500184576,10424.086135846846,847.2398496778569,3577.4728164582034,3941.665918930969
2016-09-21,8223.456236030152,9066.839227497656,9434.54611772106,10400.78008777326,843.3829914675043,3573.9455832565304,3936.480783120065
2016-09-22,8236.085443696516,9064.544547389543,9450.731552551666,10399.867753880957,828.4591036930269,3584.440066414918,3940.5601088804506
2016-09-23,8233.1143624529,9054.559316930361,9448.827714100902,10389.928053536298,821.4449544774616,3587.5895169416262,3940.6944689755715
2016-09-26,8226.715160475838,9050.41544108442,9441.950402356786,10385.634588921515,823.700280608582,3586.178607383124,3940.2530301296338
2016-09-27,8224.969097776013,9041.400987690497,9440.091575937091,10375.448625166471,816.4318899144837,3585.8458398448356,3936.795884343705
2016-09-28,8221.941802456406,9042.05009097901,9436.981544032318,10376.55051270821,820.1082885226042,3585.601682860621,3938.132057906416
2016-09-29,8219.866342134601,9024.577163674647,9434.80262603758,10356.731263094476,804.7108215400458,3585.2963776154593,3931.208023298214
