,VaR,actual_loss,exception,cvm_pvalue
2017-05-31,13427.392857932393,-1758.0141275549977,0,0.352
2017-06-01,13458.542999167286,-4242.985650245843,0,0.352
2017-06-02,13651.883707343088,2356.7069741487385,0,0.352
2017-06-05,13299.53582379281,-3852.1893056677854,0,0.352
2017-06-06,13544.953121669174,2377.6800551285905,0,0.352
2017-06-07,13432.535165899002,-3028.815425187576,0,0.352
2017-06-08,13206.11896015847,1575.5309147518758,0,0.352
2017-06-09,13465.411862220199,2791.7462054120133,0,0.352
2017-06-12,13418.106881201857,-19.353342256254138,0,0.352
2017-06-13,13248.689043023365,-1775.310968723997,0,0.352
2017-06-14,13412.096423045357,6553.411783987815,0,0.352
2017-06-15,13214.16108851719,1518.3050106470253,0,0.352
2017-06-16,13615.53565664108,1778.3035896442314,0,0.352
2017-06-19,13400.83922784373,-6208.908419080165,0,0.352
2017-06-20,13233.66772916629,8413.701984426576,0,0.352
2017-06-21,13537.36035229576,-38.241192783190286,0,0.352
2017-06-22,13547.005137472552,-132.64269218138668,0,0.352
2017-06-23,13432.75178702333,-1144.274960363368,0,0.352
2017-06-26,13379.018820404208,1706.9687136194304,0,0.352
2017-06-27,13218.70865654094,-896.284885771975,0,0.352
2017-06-28,13363.259918005264,-5410.652927617475,0,0.352
2017-06-29,13056.330091760672,-2750.180075187369,0,0.352
2017-06-30,13324.40260094667,-3938.388895532748,0,0.352
2017-07-03,13382.899550678558,1269.0493832379825,0,0.352
2017-07-05,13357.381729688715,879.5519911857775,0,0.352
2017-07-06,13285.320732704851,-2229.8707084148955,0,0.352
2017-07-07,12958.055278652788,-480.945834678856,0,0.352
2017-07-10,12946.90292748398,754.5672169314245,0,0.352
2017-07-11,13162.843184559864,979.186394252492,0,0.352
2017-07-12,13165.71558751608,-521.6542489790779,0,0.352
2017-07-13,12835.827658270122,1.5449626557672218,0,0.352
2017-07-14,13262.14804127558,-1273.9151300142437,0,0.352
2017-07-17,13653.758141207003,-971.4614744090538,0,0.352
2017-07-18,13101.539495600033,1288.8771921762611,0,0.352
2017-07-19,12724.537470939977,-3646.0115900156206,0,0.352
2017-07-20,13159.053018304234,219.4007237079821,0,0.352
2017-07-21,13467.467694349521,-983.9422789823114,0,0.352
2017-07-24,13313.558797291236,-2718.777518910342,0,0.352
2017-07-25,13172.276591020911,-4724.899397653624,0,0.352
2017-07-26,12948.875215674318,1156.47004233421,0,0.352
2017-07-27,12971.25517446897,-3635.479140477022,0,0.352
2017-07-28,13178.148636232158,1328.0968926267906,0,0.352
2017-07-31,13391.044379151866,-825.9624552006668,0,0.352
2017-08-01,13001.795698241756,1106.219817755199,0,0.352
2017-08-02,13125.16353825959,16.17139004369949,0,0.352
2017-08-03,13187.995319068466,2221.099829946739,0,0.352
2017-08-04,13167.589865753296,-1664.8563579850638,0,0.352
2017-08-07,13383.469784584222,2501.695061085621,0,0.352
2017-08-08,13116.208052230375,-2207.215687711923,0,0.352
2017-08-09,13317.76550891904,2869.2550630788123,0,0.352
2017-08-10,13060.562208083526,792.7706161454548,0,0.352
2017-08-11,13055.165436111509,-183.6939704638944,0,0.352
2017-08-14,13281.077705668076,-1385.625530928539,0,0.352
2017-08-15,12994.730147577497,-590.6317448742063,0,0.352
2017-08-16,13071.175867801083,2220.0361355372825,0,0.352
2017-08-17,13051.928016933596,2748.5890876423364,0,0.352
2017-08-18,13188.786760001753,3687.5177419732713,0,0.352
2017-08-21,13429.711694873426,214.08598749002044,0,0.352
2017-08-22,13314.406904125175,-4673.685813214226,0,0.352
2017-08-23,12888.676347655191,4853.893147557605,0,0.352
2017-08-24,12989.776017620701,-905.416256015418,0,0.352
2017-08-25,13330.60249418045,1370.154625199654,0,0.352
2017-08-28,13004.380417301869,-6097.748554844839,0,0.352
2017-08-29,13048.805230049713,2259.236417449142,0,0.352
2017-08-30,13058.54820837399,-2834.7814797525643,0,0.352
2017-08-31,12977.93230739695,-621.2357826833482,0,0.352
2017-09-01,13188.823024628597,-4191.277193298035,0,0.352
2017-09-05,13300.341259721537,6357.524658596414,0,0.352
2017-09-06,13208.010927248233,-2420.5085447502174,0,0.352
2017-09-07,13016.599145059621,1639.107589460085,0,0.352
2017-09-08,13339.784501178,-2051.982125366884,0,0.352
2017-09-11,13210.787287852152,-7189.929160612739,0,0.352
2017-09-12,13002.8780620624,-3626.487288854863,0,0.352
2017-09-13,12841.873401694638,-959.477949889779,0,0.352
2017-09-14,12982.520311990162,1031.2654026589162,0,0.352
2017-09-15,12940.067284253271,-384.3986161020038,0,0.352
2017-09-18,13104.361602284565,-1257.3537514565278,0,0.352
2017-09-19,12754.835251103354,-2266.534671729817,0,0.352
2017-09-20,12867.111702550523,-2285.5533571476867,0,0.352
2017-09-21,12945.358425542026,7673.096081543312,0,0.352
2017-09-22,13209.400393339123,-1909.80068090571,0,0.352
2017-09-25,13088.998347866624,1078.44841671819,0,0.352
2017-09-26,13330.236894023385,2631.464603293654,0,0.352
2017-09-27,13354.26553506263,-2450.1554177768808,0,0.352
2017-09-28,13023.757574268542,499.7521880236704,0,0.352
2017-09-29,13068.862896752808,-2104.44264699933,0,0.352
2017-10-02,13035.878995860947,-1099.506407134082,0,0.352
2017-10-03,13085.562873264234,1266.7438150896662,0,0.352
2017-10-04,12619.686876318325,-1362.7150554184843,0,0.352
2017-10-05,12802.05704365438,-3043.44813941821,0,0.352
2017-10-06,12978.928429048245,-1373.2700700290384,0,0.352
2017-10-09,12616.57352091872,-2358.61247950845,0,0.352
2017-10-10,13201.568131822467,277.4576023122047,0,0.352
2017-10-11,12813.66096975938,-3127.181126549647,0,0.352
2017-10-12,12639.13855036543,1474.4047159837503,0,0.352
2017-10-13,12492.889640907175,2606.282842453533,0,0.352
2017-10-16,12865.013718478964,-136.98536482393064,0,0.352
2017-10-17,13033.800053951214,1862.5271607343705,0,0.352
