,VaR,VaR_raw,actual_loss,exception,sigma_hat,mu_hat,q_EVT,xi,xi_raw,xi_clamped,ks_pvalue,fallback_type,threshold_u,N_u,f_u_hat
2011-01-19,21549.771479519735,21549.771479519735,2218.332355667864,0,0.008514513202085685,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-20,20970.761344011808,20970.761344011808,4988.548334219797,0,0.008292473743033976,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-21,20650.754071571882,20650.754071571882,1036.960997572236,0,0.00816975699369272,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-24,20053.079501734308,20053.079501734308,-360.05249196529644,0,0.007940560076337757,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-25,19449.161012839068,19449.161012839068,5595.018266003974,0,0.007708968733868437,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-26,19285.6842024753,19285.6842024753,-12605.124164137054,0,0.007646278462464418,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-27,20218.275771175882,20218.275771175882,15444.796529820322,0,0.00800175810538928,0.0006534416969977066,2.6083914551373697,-0.01385195825212667,-0.01385195825212667,False,0.5017446344001064,none,1.338101301982446,50,0.9
2011-01-28,22308.98023741531,22308.98023741531,-4169.979834490688,0,0.00874468250316896,0.0006534416969977066,2.6258725718277063,-0.03452482244690501,-0.03452482244690501,False,0.4515869965413587,none,1.344959101002674,50,0.9
2011-01-31,21741.28887125944,21741.28887125944,-266.9598308745517,0,0.008528490989442633,0.0006534416969977066,2.6258725718277063,-0.03452482244690501,-0.03452482244690501,False,0.4515869965413587,none,1.344959101002674,50,0.9
2011-02-01,21076.928891926535,21076.928891926535,-14809.708468805766,0,0.00827548557461,0.0006534416969977066,2.6258725718277063,-0.03452482244690501,-0.03452482244690501,False,0.4515869965413587,none,1.344959101002674,50,0.9
