,VaR_MC_T_COPULA,actual_loss,exception
2010-02-08,36398.691091900044,3134.135018260815,0
2010-02-09,40781.04647542609,-13925.349805261154,0
2010-02-10,38646.70366625265,-196.2223718428304,0
2010-02-11,41431.93308751595,-10260.513119551946,0
2010-02-12,41384.24430553009,4724.279000165691,0
2010-02-16,41279.87764307337,-17907.31079084747,0
2010-02-17,40799.47456964321,-680.9299447840185,0
2010-02-18,43138.598316666816,-4596.215400956397,0
2010-02-19,40706.72268053941,-535.8846611258473,0
2010-02-22,42070.712068208704,857.8708159416587,0
2010-02-23,42697.22595450105,17171.590575113078,0
2010-02-24,40165.722561349496,-1250.6839535634438,0
2010-02-25,42342.546769819,-49.59969474730224,0
2010-02-26,42269.66408846226,-5241.040177735229,0
2010-03-01,39545.25626879006,-2310.8030216368097,0
2010-03-02,46786.95396874655,-10528.326275373898,0
2010-03-03,42713.80149710544,-5214.591041088704,0
2010-03-04,44443.03210082412,6225.007227209726,0
2010-03-05,44936.56856038079,-11157.22736976189,0
2010-03-08,44408.559007979246,3061.5170134274667,0
2010-03-09,43720.262100275315,308.0315164576234,0
2010-03-10,44767.58071420429,2265.9355744759314,0
2010-03-11,44807.722500704804,-2897.877231102554,0
2010-03-12,47451.07399156953,2387.488899985879,0
2010-03-15,45523.266600659575,-91.640809593893,0
2010-03-16,45618.70533923267,-12082.55930815429,0
2010-03-17,46140.271011260615,2365.0307577970925,0
2010-03-18,48611.521573508304,-2247.0719494889136,0
2010-03-19,49524.84618538368,12309.992724285752,0
2010-03-22,54278.09071101146,8388.872845751328,0
2010-03-23,48554.687184887305,-3092.7588054317257,0
2010-03-24,38807.233763956516,4632.27162141751,0
2010-03-25,39182.52757625887,-5859.729173342868,0
2010-03-26,39607.76810355378,-6903.403255998255,0
2010-03-29,37246.16408825151,-4825.569357616841,0
2010-03-30,39524.70986827924,4696.065904172033,0
2010-03-31,40027.85749072661,-3054.0427112307725,0
2010-04-01,34536.05083458572,-12718.073219320784,0
2010-04-05,36166.61567299024,-11254.407427150236,0
2010-04-06,38862.87837344288,2215.35459640624,0
2010-04-07,37018.65634370781,1137.022585343948,0
2010-04-08,39586.986812013194,-3108.7880718223905,0
2010-04-09,41338.84357449457,-9076.68495583145,0
2010-04-12,39467.736161043686,2226.9670786243214,0
2010-04-13,36567.4531364694,2705.7675297955243,0
2010-04-14,40862.29796095534,-8853.343343529225,0
2010-04-15,37011.7176529472,-443.4097983579845,0
2010-04-16,40327.5888732014,21985.39975233937,0
2010-04-19,39353.25313989722,-2487.8718540411546,0
2010-04-20,38993.31448853023,-2691.018548600904,0
2010-04-21,40754.1051301455,627.9061487917693,0
2010-04-22,41157.08634603423,2003.3848208105017,0
2010-04-23,44082.91299512064,-13593.923084055452,0
2010-04-26,43622.228125755115,3942.02835797794,0
2010-04-27,40589.47280180946,11057.412262751172,0
2010-04-28,40326.75470806803,-6873.139280363013,0
2010-04-29,42271.079492808465,-2841.1532817715224,0
2010-04-30,42912.44930654286,4798.30438919697,0
2010-05-03,40915.80643846084,-6247.918124505558,0
2010-05-04,40877.16956561399,14148.033144522524,0
2010-05-05,36572.432603069,6064.913489644011,0
2010-05-06,39499.4000373938,2334.445848027633,0
2010-05-07,37293.29457680692,-4051.598829553359,0
2010-05-10,40226.09305930781,-8315.493098446972,0
2010-05-11,40974.24753379125,-9865.4735591011,0
2010-05-12,40224.70888672065,-4875.053493292259,0
2010-05-13,37258.49765185337,8781.785817730417,0
2010-05-14,38729.82434570969,13966.581075266353,0
2010-05-17,39959.21347600665,2654.007425076259,0
2010-05-18,39247.241763334925,10815.214344540684,0
2010-05-19,35304.09928851988,11113.666090449027,0
2010-05-20,38445.756456064984,11386.968196763592,0
2010-05-21,41298.70532800007,4737.382422679388,0
2010-05-24,37822.234723765185,-2988.370557174233,0
2010-05-25,38536.97666485024,1572.866066446817,0
2010-05-26,36949.38388552692,-2597.752253013519,0
2010-05-27,36904.54887110807,-15231.14991257148,0
2010-05-28,37664.29389878404,3058.7338613029697,0
2010-06-01,34518.623379657976,-814.250481652482,0
