,VaR_MC_COPULA,actual_loss,exception
2009-04-14,38714.99282538425,13628.028468428376,0
2009-04-15,41981.771056795165,-3324.907269929044,0
2009-04-16,41081.83593138058,3652.645878193256,0
2009-04-17,43172.34413901683,-3086.981441969575,0
2009-04-20,36902.1532817364,9106.22137933834,0
2009-04-21,41247.1874052487,-7065.361377768364,0
2009-04-22,39852.64950614486,-5074.976222306735,0
2009-04-23,43282.68600988993,-9407.852516106346,0
2009-04-24,42203.93686808058,-14735.299120735584,0
2009-04-27,44024.08351280736,16018.084367060825,0
2009-04-28,40289.289919589806,-2278.273897152184,0
2009-04-29,42635.41897971172,-14315.060516878391,0
2009-04-30,42701.97219183182,2869.5111164881064,0
2009-05-01,43425.16546672285,-3366.0845299216526,0
2009-05-04,45116.936614239035,-19191.37925569368,0
2009-05-05,48459.8986266587,4458.351536358345,0
2009-05-06,50079.38553289101,-9762.394454848602,0
2009-05-07,38907.54407959389,-3164.49994285356,0
2009-05-08,37870.732586631275,-15399.85101202815,0
2009-05-11,37287.09608163413,15610.380303336173,0
2009-05-12,42093.94525712035,-4661.607296011558,0
2009-05-13,38975.77529634985,11001.147188566923,0
2009-05-14,40157.22080453859,-2447.68507251846,0
2009-05-15,38966.187047122155,386.66590546808857,0
2009-05-18,37165.53911130179,-9364.779654099148,0
2009-05-19,40314.10374294784,-6011.22399358542,0
2009-05-20,36718.17503704168,-366.52591043458415,0
2009-05-21,35173.2473427131,-17959.018802845247,0
2009-05-22,36331.12768714406,-9631.23327335886,0
2009-05-26,37619.97250115872,-3924.2202332312063,0
2009-05-27,38452.29652956604,-5320.266049009324,0
2009-05-28,39135.76545915275,-6455.09158346072,0
2009-05-29,39567.103440573264,-4030.844389060592,0
2009-06-01,40283.786762461394,-18147.4753052377,0
2009-06-02,46691.26026004527,-2139.5707838572407,0
2009-06-03,37805.6706141029,20882.2294847105,0
2009-06-04,39981.89305598247,-20272.46289235445,0
2009-06-05,41363.98038221783,10030.374035933066,0
2009-06-08,40696.43338380358,-529.2991758671697,0
2009-06-09,40494.436242857395,-2781.4089513687777,0
