,VaR_MC_COPULA
2021-06-04,21683.86823113126
2021-06-07,19591.07102184581
2021-06-08,21749.480173791304
2021-06-09,21096.22831417423
2021-06-10,22497.753145485138
2021-06-11,23112.512823936486
2021-06-14,24099.718945225162
2021-06-15,23294.196423558078
2021-06-16,20325.84935393561
2021-06-17,20364.423023603904
2021-06-18,17258.927514897492
2021-06-21,22354.636003198095
2021-06-22,23092.57168578385
2021-06-23,23362.099095441616
2021-06-24,25028.895736576455
2021-06-25,31339.70585037543
2021-06-28,32563.149053833837
2021-06-29,33606.15078825848
2021-06-30,36091.27968107313
2021-07-01,41357.91188155465
2021-07-02,16573.950863223356
2021-07-06,16021.91805575157
2021-07-07,17775.35262864142
2021-07-08,17685.039648321363
2021-07-09,17630.75237314589
2021-07-12,19039.618760812198
2021-07-13,17649.338099940906
2021-07-14,17569.622755468394
2021-07-15,17002.13220085642
2021-07-16,15980.557484971614
2021-07-19,15824.671737506893
2021-07-20,16054.286640327413
2021-07-21,17274.932481478918
2021-07-22,17565.951894148577
2021-07-23,19948.856826008316
2021-07-26,22387.05462272976
2021-07-27,19186.522922165062
2021-07-28,20281.231772009727
2021-07-29,21107.31494792475
2021-07-30,18931.454117483645
2021-08-02,18127.519190653766
2021-08-03,21124.47659153708
2021-08-04,18872.791943899076
2021-08-05,22107.761280223807
2021-08-06,22912.91562668271
2021-08-09,23121.80652592831
2021-08-10,24332.562374704055
2021-08-11,26703.7371606098
2021-08-12,30690.31708985969
2021-08-13,33023.211124388676
2021-08-16,17305.674018447273
2021-08-17,15621.120155384207
2021-08-18,16735.220573569073
2021-08-19,16425.326835467116
2021-08-20,16327.826131994052
2021-08-23,17096.921762524675
2021-08-24,18120.086602749718
2021-08-25,17627.745807751864
2021-08-26,18545.530537143808
2021-08-27,18999.802446356327
2021-08-30,19763.06590401466
2021-08-31,19001.48597143804
2021-09-01,20847.722879346315
2021-09-02,20476.9685822378
2021-09-03,18733.07760373582
2021-09-07,18885.028121982657
2021-09-08,19827.2836200732
2021-09-09,18585.67592953825
2021-09-10,16231.850679360543
2021-09-13,17852.221268517125
2021-09-14,16571.30414994396
2021-09-15,17384.858356297573
2021-09-16,16315.221593676215
2021-09-17,14612.209361285486
2021-09-20,14710.991511849197
2021-09-21,14895.446751450094
2021-09-22,14605.654100262771
2021-09-23,14512.54003204095
2021-09-24,13492.8127031556
2021-09-27,12759.266255061724
2021-09-28,19862.52112489635
2021-09-29,18043.788016815317
2021-09-30,17982.149865648127
2021-10-01,18200.111616742048
2021-10-04,16675.558433266102
2021-10-05,18576.642201821203
2021-10-06,17629.708051744325
2021-10-07,18581.957029961093
2021-10-08,17972.23021436349
2021-10-11,17341.221695470307
2021-10-12,17144.137202567184
2021-10-13,17432.611619332343
2021-10-14,22599.968970844544
2021-10-15,25668.257642483466
2021-10-18,26408.02838515904
2021-10-19,30824.33304969529
2021-10-20,31897.112999618137
2021-10-21,35032.36180616434
2021-10-22,35354.94327058743
2021-10-25,36651.613877911404
2021-10-26,38804.48631374327
2021-10-27,38221.99564485142
2021-10-28,42368.433449127544
2021-10-29,44787.14004931251
2021-11-01,49311.84097405401
2021-11-02,50330.06008133186
2021-11-03,58418.876479648905
2021-11-04,59236.857512296716
2021-11-05,56245.03211318832
2021-11-08,57187.2062473526
2021-11-09,17415.034970899567
2021-11-10,16644.54727486067
2021-11-11,16410.071388358658
2021-11-12,16982.082469227615
2021-11-15,16107.102091091718
2021-11-16,18891.294611443518
2021-11-17,18264.26858632176
2021-11-18,15257.7590222599
2021-11-19,18881.51163993624
2021-11-22,16616.107747182115
2021-11-23,16201.039089244408
2021-11-24,17504.523965468437
2021-11-26,16229.861124004634
2021-11-29,16419.48905046506
2021-11-30,15197.906066253332
2021-12-01,16290.567068864264
2021-12-02,15596.342130886333
2021-12-03,16631.118093045232
2021-12-06,15440.471959572566
2021-12-07,17842.258866057924
2021-12-08,17336.718548415443
2021-12-09,16752.736400672984
2021-12-10,18071.928751345076
2021-12-13,16918.294562821673
2021-12-14,14842.964612889806
2021-12-15,17706.37255310071
2021-12-16,14889.124087505528
2021-12-17,14290.666014173214
2021-12-20,15812.568675983688
2021-12-21,10923.559489909014
2021-12-22,17614.141940971014
2021-12-23,18194.811662571512
2021-12-27,18908.48969010315
2021-12-28,19885.79742486186
2021-12-29,20883.624397047533
2021-12-30,20702.221851317347
2021-12-31,19316.41739921321
2022-01-03,21424.123279170966
2022-01-04,22321.978942404858
2022-01-05,16645.36273379086
2022-01-06,17378.51490926571
2022-01-07,15570.325123141376
2022-01-10,16511.342762262713
2022-01-11,17427.79834906841
2022-01-12,17404.3428515778
2022-01-13,15350.77372859942
2022-01-14,14856.593425940784
2022-01-18,14513.844430353776
2022-01-19,15207.655068119051
2022-01-20,15465.859106145628
2022-01-21,17544.757952613596
2022-01-24,16561.86923870102
2022-01-25,18784.80149989037
2022-01-26,19125.176161214975
2022-01-27,20120.771414095958
2022-01-28,17343.51209111481
2022-01-31,15382.913561747602
2022-02-01,14903.864645593578
2022-02-02,14560.78587311834
2022-02-03,18470.146595888185
2022-02-04,17583.707326717577
2022-02-07,16780.34606464851
2022-02-08,17956.779955016707
2022-02-09,19780.128721720648
2022-02-10,16779.221721517642
2022-02-11,16263.741420047281
2022-02-14,16645.588928749916
2022-02-15,16883.982772222706
