,VaR_MC_GARCH_COPULA
2013-06-27,14641.609676201917
2013-06-28,15107.616837690144
2013-07-01,14970.2100760471
2013-07-02,15496.890358276363
2013-07-03,14977.633976064983
2013-07-05,14714.968568666178
2013-07-08,14571.477004657807
2013-07-09,14737.273414554984
2013-07-10,15384.66029504237
2013-07-11,15551.876003790878
2013-07-12,15984.587237831636
2013-07-15,16005.513149903943
2013-07-16,15466.373389852251
2013-07-17,15380.886532487932
2013-07-18,15093.683807845076
2013-07-19,15613.859340928659
2013-07-22,15021.87911507005
2013-07-23,15634.992460137055
2013-07-24,15023.092366305045
2013-07-25,15179.771729032556
2013-07-26,14729.776036664123
2013-07-29,13720.05879121612
2013-07-30,13765.546134868904
2013-07-31,13810.207247257413
2013-08-01,13893.580277294763
2013-08-02,16648.610132119054
2013-08-05,16999.44053018724
2013-08-06,15601.357616108715
2013-08-07,16219.732279897686
2013-08-08,16435.568393402307
2013-08-09,15887.339528607488
2013-08-12,15383.393311998056
2013-08-13,16338.925362955039
2013-08-14,15604.813948349867
2013-08-15,14025.430885471611
2013-08-16,13401.948705352144
2013-08-19,13933.463104244804
2013-08-20,13080.579788961864
2013-08-21,12810.995385759537
2013-08-22,12364.582540610629
2013-08-23,12700.641253991125
2013-08-26,12026.322330611805
2013-08-27,11970.360994414328
2013-08-28,12151.590864679369
2013-08-29,12067.14996777028
2013-08-30,12324.066610363128
2013-09-03,12311.138234629238
2013-09-04,13114.514419841124
2013-09-05,13242.44638881574
2013-09-06,12752.207466930704
2013-09-09,12353.514222827862
2013-09-10,13079.738231442885
2013-09-11,13380.072240094783
2013-09-12,12162.26899002504
2013-09-13,13458.99969585146
2013-09-16,13820.936362994571
2013-09-17,13626.748479773014
2013-09-18,13796.00021522343
2013-09-19,12732.42319241051
2013-09-20,13077.27528683685
2013-09-23,13770.780245660791
2013-09-24,13379.755644055189
2013-09-25,13677.528701958949
2013-09-26,13834.794750511877
2013-09-27,13553.761120894702
2013-09-30,13337.730120113762
2013-10-01,14080.215619520348
2013-10-02,13372.15156358147
2013-10-03,10519.606538333832
2013-10-04,10277.888942191172
2013-10-07,9962.070492802315
2013-10-08,9780.882160836818
2013-10-09,9277.692038189765
2013-10-10,9949.576611990673
2013-10-11,9771.183911489585
2013-10-14,10240.217576452707
2013-10-15,9487.17523836795
2013-10-16,10702.825870111687
2013-10-17,10998.938413701804
2013-10-18,11294.030505696437
2013-10-21,11334.681750450241
2013-10-22,10963.35311216301
2013-10-23,10700.72013166133
2013-10-24,10822.749981262361
2013-10-25,11090.026542199226
2013-10-28,11217.324359620308
2013-10-29,11196.751575721864
2013-10-30,11234.536633455402
2013-10-31,10633.309790843268
2013-11-01,10703.798935611389
2013-11-04,10885.886367521409
2013-11-05,10872.739639940486
2013-11-06,10600.007283326553
2013-11-07,10394.383829462322
2013-11-08,13339.461060552632
2013-11-11,14613.054872952076
2013-11-12,14357.67564360571
2013-11-13,13781.591631020781
2013-11-14,9082.292718827255
2013-11-15,8993.426743504686
2013-11-18,8953.177491945205
2013-11-19,8878.916934534462
2013-11-20,8920.665801659445
2013-11-21,8839.95999588179
2013-11-22,9030.442989933745
2013-11-25,8717.38888346386
2013-11-26,8376.43337676074
2013-11-27,9073.894226485063
2013-11-29,8971.108397647962
2013-12-02,9066.718044122756
2013-12-03,8599.241509206855
2013-12-04,8913.800642765396
2013-12-05,9896.037566585786
2013-12-06,10000.341493040709
