forecast_date,exposure_date,portfolio_value_linear,mu_deltaV,sigma_deltaV,VaR_DN_full,VaR_DN_nodrift
2012-04-06,2012-04-05,1720233.0815451166,744.208784655556,9927.094587932925,22349.66660538454,23093.875390040095
2012-04-09,2012-04-06,1718591.8569229727,749.816481722523,9922.056435520853,22332.338413164656,23082.15489488718
2012-04-10,2012-04-09,1724328.907265795,751.0126832638074,9963.429292169727,22427.389868731476,23178.402551995285
2012-04-11,2012-04-10,1729777.4768431005,733.3958162669304,10012.866002649234,22560.01372205193,23293.409538318858
2012-04-12,2012-04-11,1729780.6945544868,717.4701117096034,10013.229391187051,22576.784794761654,23294.25490647126
2012-04-13,2012-04-12,1741639.918830983,767.4954887769233,10113.325300508091,22759.617323543524,23527.112812320447
2012-04-16,2012-04-13,1733035.4368043237,761.1350933696781,10008.912467178649,22523.07714611224,23284.212239481916
2012-04-17,2012-04-16,1728130.8374054367,762.4797957147613,9981.601968004408,22458.19872207417,23220.67851778893
2012-04-18,2012-04-17,1732741.2996770078,783.9061853070286,9988.34382088918,22452.456227607487,23236.362412914514
2012-04-19,2012-04-18,1728230.6468224328,801.7622150924807,9915.221225478088,22264.49160344309,23066.25381853557
2012-04-20,2012-04-19,1726927.7647689027,821.1968432030488,9898.965556076206,22207.240633378344,23028.437476581392
2012-04-23,2012-04-20,1728536.0890333368,819.9348760487122,9907.191865390532,22227.639857717266,23047.574733765978
2012-04-24,2012-04-23,1725737.4877935688,808.4651071457481,9877.532505704738,22170.111638269766,22978.576745415514
2012-04-25,2012-04-24,1725876.129576657,799.7619532548692,9889.415751529703,22206.45935582226,23006.22130907713
2012-04-26,2012-04-25,1732061.8013084591,814.4233810694127,9925.81291192995,22276.47038472595,23090.893765795365
2012-04-27,2012-04-26,1742911.6569124756,818.2321965940563,10005.186336734194,22457.31176725,23275.54396384406
2012-04-30,2012-04-27,1744616.93089515,828.2015037582686,10022.4096625554,22487.409907493864,23315.61141125213
2012-05-01,2012-04-30,1747194.2450404144,833.7847216673233,10045.795824774168,22536.23103834442,23370.01576001174
2012-05-02,2012-05-01,1745751.3551285223,829.1950841284979,10024.669209117243,22491.672818464074,23320.867902592574
2012-05-03,2012-05-02,1742125.8649857899,809.3374479471363,9984.553561392086,22418.20750284425,23227.544950791384
2012-05-04,2012-05-03,1730147.9668454689,804.3499710652652,9888.508690153325,22199.761197707303,23004.111168772568
2012-05-07,2012-05-04,1729214.1335447463,806.2979020733515,9895.79912877907,22214.773363097043,23021.071265170394
2012-05-08,2012-05-07,1723629.4259550348,771.5080146252751,9863.446598420893,22174.30001032653,22945.808024951806
2012-05-09,2012-05-08,1710699.9304384456,737.6646946353568,9725.563753928898,21887.379868165794,22625.04456280115
2012-05-10,2012-05-09,1700645.9038272449,720.3959047591613,9648.758573088931,21725.97308887961,22446.36899363877
2012-05-11,2012-05-10,1700899.2937948606,725.5621303421336,9663.096423471328,21754.161691052046,22479.72382139418
2012-05-14,2012-05-11,1695565.9134389115,691.1370213187743,9592.786837768434,21625.02224485078,22316.159266169554
2012-05-15,2012-05-14,1682745.9079524283,661.2836939370836,9485.413448081123,21405.08771540484,22066.371409341922
2012-05-16,2012-05-15,1672239.0804994404,604.2762862946594,9384.237164112246,21226.723889932913,21831.00017622757
2012-05-17,2012-05-16,1668075.2151713045,600.8382550217339,9363.341837444175,21181.552122434186,21782.39037745592
2012-05-18,2012-05-17,1680779.4499003713,605.7852401933135,9517.210510205925,21534.557197023387,22140.3424372167
2012-05-21,2012-05-18,1685569.1745265885,607.5759161888957,9596.286893810058,21716.725697912116,22324.301614101012
2012-05-22,2012-05-21,1691537.796714575,656.1674964481983,9590.0799449427,21653.694595350957,22309.862091799154
2012-05-23,2012-05-22,1679875.762635835,621.2373726561423,9477.318530696275,21426.302442837,22047.539815493143
2012-05-24,2012-05-23,1675886.6657734402,615.3760615364881,9451.3478061362,21371.746814089027,21987.122875625515
2012-05-25,2012-05-24,1672468.526060369,613.6677022713485,9438.933000746072,21344.57401722821,21958.241719499558
2012-05-28,2012-05-25,1678122.762688161,605.152639539481,9490.711265911648,21473.54333704954,22078.69597658902
2012-05-29,2012-05-28,1678810.2264227588,626.4741379652583,9480.104743915073,21427.54737872606,22054.02151669132
2012-05-30,2012-05-29,1673331.6925512152,630.6891853438062,9401.666608468076,21240.857941706665,21871.54712705047
2012-05-31,2012-05-30,1676029.4837359684,634.5607529423955,9432.56289388713,21308.861882008452,21943.422634950846
2012-06-01,2012-05-31,1673443.4533333248,675.8521026927452,9351.602126931191,21079.227624169438,21755.079726862183
2012-06-04,2012-06-01,1696944.9143367053,719.2821578589143,9677.02762669234,21792.850488531294,22512.132646390208
2012-06-05,2012-06-04,1694420.3078507509,714.172232526937,9668.305825547348,21777.670470311812,22491.84270283875
2012-06-06,2012-06-05,1696616.9037369564,734.2991051389727,9661.811009444018,21742.43439606551,22476.733501204482
2012-06-07,2012-06-06,1699804.593981417,711.9335238221067,9660.018867555602,21760.63083191028,22472.564355732386
