,VaR_COPULA,mean_correlation,cvm_pvalue
2013-05-03,17845.246538844072,-0.07090547543180048,0.422
2013-05-06,17312.337251452544,-0.07090547543180048,0.422
2013-05-07,17260.652652198653,-0.07090547543180048,0.422
2013-05-08,17572.944839847874,-0.07090547543180048,0.422
2013-05-09,17717.63227712134,-0.07090547543180048,0.422
2013-05-10,17883.74068431545,-0.07090547543180048,0.422
2013-05-13,17619.508628582254,-0.07090547543180048,0.422
2013-05-14,17305.427885617988,-0.07090547543180048,0.422
2013-05-15,17519.735124256284,-0.07090547543180048,0.422
2013-05-16,17075.68673489757,-0.07090547543180048,0.422
2013-05-17,17638.8129686977,-0.07090547543180048,0.422
2013-05-20,17737.89982365343,-0.07090547543180048,0.422
2013-05-21,17648.902014765597,-0.07090547543180048,0.422
2013-05-22,17579.826971529765,-0.07090547543180048,0.422
2013-05-23,18208.858006087605,-0.07090547543180048,0.422
2013-05-24,17953.79409361195,-0.07090547543180048,0.422
2013-05-28,17169.496024772816,-0.07090547543180048,0.422
2013-05-29,17097.618640648292,-0.07090547543180048,0.422
2013-05-30,17131.472395855973,-0.07090547543180048,0.422
2013-05-31,18022.392953770133,-0.07090547543180048,0.422
2013-06-03,17918.041239967406,-0.07090547543180048,0.422
2013-06-04,17323.691471785547,-0.07090547543180048,0.422
2013-06-05,17643.552096934887,-0.07090547543180048,0.422
2013-06-06,17780.966960633028,-0.07090547543180048,0.422
2013-06-07,17849.759688364527,-0.07090547543180048,0.422
2013-06-10,17769.154376582457,-0.07090547543180048,0.422
2013-06-11,17136.93782047688,-0.07090547543180048,0.422
2013-06-12,17922.829822112955,-0.07090547543180048,0.422
2013-06-13,17789.660789881334,-0.07090547543180048,0.422
2013-06-14,17888.488499022314,-0.07090547543180048,0.422
2013-06-17,17344.445207550183,-0.07090547543180048,0.422
2013-06-18,17209.868340531957,-0.07090547543180048,0.422
2013-06-19,17387.09658666227,-0.07090547543180048,0.422
2013-06-20,17599.642469418523,-0.07090547543180048,0.422
2013-06-21,17518.23245413383,-0.07090547543180048,0.422
2013-06-24,17290.773998884848,-0.07090547543180048,0.422
2013-06-25,17363.206429304348,-0.07090547543180048,0.422
2013-06-26,17934.659740718238,-0.07090547543180048,0.422
2013-06-27,17157.31266212828,-0.07090547543180048,0.422
2013-06-28,18057.721260272072,-0.07090547543180048,0.422
2013-07-01,17336.79818292701,-0.07090547543180048,0.422
2013-07-02,17319.59280249091,-0.07090547543180048,0.422
2013-07-03,17126.345078334736,-0.07090547543180048,0.422
2013-07-05,17682.487892895002,-0.07090547543180048,0.422
2013-07-08,16954.29599808923,-0.07090547543180048,0.422
2013-07-09,17033.117748414577,-0.07090547543180048,0.422
2013-07-10,17401.85023086409,-0.07090547543180048,0.422
2013-07-11,17583.892152135653,-0.07090547543180048,0.422
2013-07-12,17612.24638447034,-0.07090547543180048,0.422
2013-07-15,17296.07144449411,-0.07090547543180048,0.422
2013-07-16,16567.42147768584,-0.07090547543180048,0.422
2013-07-17,17787.198085836488,-0.07090547543180048,0.422
2013-07-18,17118.627942126343,-0.07090547543180048,0.422
2013-07-19,17133.756226745347,-0.07090547543180048,0.422
2013-07-22,18022.466710079574,-0.07090547543180048,0.422
2013-07-23,17730.001985609655,-0.07090547543180048,0.422
2013-07-24,17019.036934826276,-0.07090547543180048,0.422
2013-07-25,17631.505732741305,-0.07090547543180048,0.422
2013-07-26,17639.17758249983,-0.07090547543180048,0.422
2013-07-29,17301.022831699574,-0.07090547543180048,0.422
2013-07-30,17187.17767505784,-0.07090547543180048,0.422
2013-07-31,16714.581366590854,-0.07090547543180048,0.422
2013-08-01,17855.39681462006,-0.07090547543180048,0.422
2013-08-02,17434.153449925165,-0.07090547543180048,0.422
2013-08-05,16979.387355840056,-0.07090547543180048,0.422
2013-08-06,17325.157215811487,-0.07090547543180048,0.422
2013-08-07,16915.623399583168,-0.07090547543180048,0.422
2013-08-08,15678.156436781148,-0.07090547543180048,0.422
2013-08-09,16605.563778499174,-0.07090547543180048,0.422
2013-08-12,16348.245345066685,-0.07090547543180048,0.422
2013-08-13,15901.801914037862,-0.07090547543180048,0.422
2013-08-14,16139.47931681302,-0.07090547543180048,0.422
2013-08-15,16364.061305623143,-0.07090547543180048,0.422
2013-08-16,16604.0650633996,-0.07090547543180048,0.422
2013-08-19,15828.881219250816,-0.07090547543180048,0.422
2013-08-20,16315.180306701028,-0.07090547543180048,0.422
2013-08-21,15888.352615628077,-0.07090547543180048,0.422
2013-08-22,15872.11715904601,-0.07090547543180048,0.422
2013-08-23,15874.267824403656,-0.07090547543180048,0.422
2013-08-26,15888.83961856008,-0.07090547543180048,0.422
2013-08-27,16517.357635987766,-0.07090547543180048,0.422
2013-08-28,15909.496520852035,-0.07090547543180048,0.422
2013-08-29,16180.672394175115,-0.07090547543180048,0.422
2013-08-30,16547.448217094377,-0.07090547543180048,0.422
2013-09-03,15762.805722824884,-0.07090547543180048,0.422
2013-09-04,15976.31880225973,-0.07090547543180048,0.422
2013-09-05,16254.139043342706,-0.07090547543180048,0.422
2013-09-06,16679.898504242963,-0.07090547543180048,0.422
2013-09-09,15777.350971490054,-0.07090547543180048,0.422
2013-09-10,15973.101569867797,-0.07090547543180048,0.422
2013-09-11,15875.001092187662,-0.07090547543180048,0.422
2013-09-12,16155.526193880154,-0.07090547543180048,0.422
2013-09-13,15838.118959261203,-0.07090547543180048,0.422
2013-09-16,15899.67689988895,-0.07090547543180048,0.422
2013-09-17,16199.244529047019,-0.07090547543180048,0.422
2013-09-18,15958.164362206555,-0.07090547543180048,0.422
2013-09-19,15630.043084592,-0.07090547543180048,0.422
2013-09-20,16238.939296221904,-0.07090547543180048,0.422
2013-09-23,15906.520729261183,-0.07090547543180048,0.422
2013-09-24,16024.255140256393,-0.07090547543180048,0.422
2013-09-25,16033.113613157766,-0.07090547543180048,0.422
2013-09-26,15802.969109226904,-0.07090547543180048,0.422
2013-09-27,16224.345060250549,-0.07090547543180048,0.422
2013-09-30,15558.109441738394,-0.07090547543180048,0.422
2013-10-01,16107.679642967512,-0.07090547543180048,0.422
2013-10-02,15764.896566881862,-0.07090547543180048,0.422
2013-10-03,16148.039799641261,-0.07090547543180048,0.422
2013-10-04,16454.32219523057,-0.07090547543180048,0.422
2013-10-07,16374.231866120785,-0.07090547543180048,0.422
2013-10-08,16148.622310075478,-0.07090547543180048,0.422
2013-10-09,16279.601321960172,-0.07090547543180048,0.422
2013-10-10,16217.470875767936,-0.07090547543180048,0.422
2013-10-11,16229.756596707315,-0.07090547543180048,0.422
2013-10-14,16346.010716087567,-0.07090547543180048,0.422
2013-10-15,15896.47950062591,-0.07090547543180048,0.422
2013-10-16,15923.243909597813,-0.07090547543180048,0.422
2013-10-17,16246.553579766092,-0.07090547543180048,0.422
2013-10-18,15683.911801862616,-0.07090547543180048,0.422
2013-10-21,16300.928371443655,-0.07090547543180048,0.422
2013-10-22,15917.51292520861,-0.07090547543180048,0.422
2013-10-23,16366.746824437732,-0.07090547543180048,0.422
2013-10-24,16155.024004202089,-0.07090547543180048,0.422
2013-10-25,16025.658679362226,-0.07090547543180048,0.422
2013-10-28,15822.06596202136,-0.07090547543180048,0.422
2013-10-29,15317.699623078122,-0.07090547543180048,0.422
2013-10-30,14939.175724622011,-0.07090547543180048,0.422
2013-10-31,15158.808877545736,-0.07090547543180048,0.422
2013-11-01,14811.306934637916,-0.07090547543180048,0.422
2013-11-04,14732.14044949056,-0.07090547543180048,0.422
2013-11-05,14363.726240553102,-0.07090547543180048,0.422
