,VaR_MC_T_COPULA
2012-04-09,37352.93328762416
2012-04-10,38761.1289878824
2012-04-11,36610.96003920955
2012-04-12,37529.20074097952
2012-04-13,40794.3487327173
2012-04-16,36313.496455024215
2012-04-17,38153.812340223376
2012-04-18,38868.63318534781
2012-04-19,35890.79825396831
2012-04-20,34472.36259556773
2012-04-23,36935.36767434294
2012-04-24,35255.6914786343
2012-04-25,36879.0869841871
2012-04-26,35252.040841975955
2012-04-27,38383.07924990268
2012-04-30,41245.63497741707
2012-05-01,38178.61437781014
2012-05-02,37263.92386142475
2012-05-03,38125.768386518415
2012-05-04,35844.41905947459
2012-05-07,37713.08059993062
2012-05-08,35320.207461364465
2012-05-09,36678.57270756867
2012-05-10,35000.91990269401
2012-05-11,35098.894001398505
2012-05-14,37413.23387662866
2012-05-15,36725.304747768605
2012-05-16,38791.84545458355
2012-05-17,39773.553217222376
2012-05-18,32878.48514825667
2012-05-21,37511.077607504194
2012-05-22,35632.93823408466
2012-05-23,37050.071046110774
2012-05-24,36214.98818840541
2012-05-25,34099.71882220934
2012-05-29,34297.19525214997
2012-05-30,38098.93009252207
2012-05-31,36642.29745273768
2012-06-01,36441.8821624912
2012-06-04,36864.01365614136
2012-06-05,37011.07984496994
2012-06-06,37251.34218863965
2012-06-07,37012.930693045506
2012-06-08,35597.343746709514
2012-06-11,38122.49129849549
2012-06-12,37632.4477820479
2012-06-13,35377.16731676474
2012-06-14,36396.73132130692
2012-06-15,37335.77957269107
2012-06-18,35944.25223495058
2012-06-19,38135.86333878516
2012-06-20,37685.392413136
2012-06-21,35816.89142070612
2012-06-22,32021.589919529702
2012-06-25,32951.11157713453
2012-06-26,37083.19062627691
2012-06-27,35331.231860630214
2012-06-28,38481.084961940534
2012-06-29,36065.481737925074
2012-07-02,38022.927040932096
2012-07-03,38323.70116293577
2012-07-05,40068.68449759204
2012-07-06,39032.543458247696
2012-07-09,38800.52757607003
2012-07-10,39020.40175004881
2012-07-11,38621.106238022796
2012-07-12,39235.68740684612
2012-07-13,39971.76246373537
2012-07-16,39375.472637101215
2012-07-17,38537.38366469743
2012-07-18,43033.44012154661
2012-07-19,42434.82245700111
2012-07-20,43271.101178849574
2012-07-23,40074.63733051947
2012-07-24,39570.63576438215
2012-07-25,41210.94473212923
2012-07-26,41044.278466041156
2012-07-27,40255.526036861906
2012-07-30,43424.25674604816
2012-07-31,43123.10573820798
2012-08-01,43777.794173164264
2012-08-02,44889.283483436164
2012-08-03,42350.65687218384
2012-08-06,42708.572231521604
2012-08-07,43022.67448317679
2012-08-08,40392.15860315723
2012-08-09,36946.51655464075
2012-08-10,35834.23171826199
2012-08-13,38354.50588203739
2012-08-14,36769.28157980093
2012-08-15,38226.50445837806
2012-08-16,39415.65680237417
2012-08-17,39401.1449054631
2012-08-20,38846.270903488185
2012-08-21,39081.71822740884
2012-08-22,36350.738647718514
2012-08-23,37079.287664402116
2012-08-24,37940.07553282567
2012-08-27,37084.5799213665
2012-08-28,37490.04120387309
2012-08-29,38656.03480349017
2012-08-30,39936.52754265092
2012-08-31,39030.037014587644
2012-09-04,36534.666111495295
2012-09-05,37817.260116408586
2012-09-06,38528.2909810916
2012-09-07,40469.47423770319
2012-09-10,42285.175457943806
2012-09-11,39869.52118024339
2012-09-12,40370.264358380584
2012-09-13,40801.618950874756
2012-09-14,45320.476684395944
2012-09-17,43124.30083445856
2012-09-18,43074.22930972445
2012-09-19,42703.81080850246
2012-09-20,39452.33133557151
2012-09-21,35588.490823523694
2012-09-24,39269.32335772744
2012-09-25,36622.19069276108
2012-09-26,36112.42107980292
2012-09-27,38589.21008120097
2012-09-28,37049.70119429098
2012-10-01,38725.808031177454
2012-10-02,35739.72398937208
2012-10-03,37843.65754791891
2012-10-04,35844.35089908032
2012-10-05,37386.285077672954
2012-10-08,38311.41217157154
2012-10-09,36370.800261411336
2012-10-10,36516.18856008559
2012-10-11,35389.92951759773
2012-10-12,38860.2774135092
2012-10-15,37159.38864796515
2012-10-16,36755.900567888624
2012-10-17,40214.96260832677
2012-10-18,41155.1898032374
2012-10-19,36743.59514875823
2012-10-22,34657.68340997772
2012-10-23,34813.40004939548
2012-10-24,35968.65584287313
2012-10-25,33429.17198967802
2012-10-26,35750.91691529185
2012-10-31,39513.78968342926
2012-11-01,35573.23206546968
2012-11-02,33649.861796177254
2012-11-05,40836.973299140176
2012-11-06,37726.09052478329
2012-11-07,40615.62975147694
2012-11-08,36766.45657515352
2012-11-09,38471.373380927456
2012-11-12,41134.35903124821
2012-11-13,37897.72579502098
2012-11-14,32692.475082255965
2012-11-15,37902.12231967043
2012-11-16,36048.82560409461
2012-11-19,36791.82068460789
2012-11-20,35680.768715259175
2012-11-21,35079.794170445384
2012-11-23,36552.79719714441
2012-11-26,39162.20873407915
2012-11-27,39076.618259634444
2012-11-28,36062.947388245644
2012-11-29,37403.38181037968
2012-11-30,37090.848291552255
2012-12-03,39255.72874667417
2012-12-04,38070.47212843067
2012-12-05,37640.67775238343
2012-12-06,36632.02345052419
2012-12-07,36943.88962737202
2012-12-10,39398.425540430864
2012-12-11,37296.617761547044
2012-12-12,41867.9375049045
2012-12-13,40654.06205932483
2012-12-14,38404.67020941
2012-12-17,35481.484364873264
2012-12-18,37594.65565519839
2012-12-19,39575.37769158832
2012-12-20,37945.92771569428
2012-12-21,41396.69098737904
2012-12-24,35764.701722883394
2012-12-26,37140.51013458539
2012-12-27,37748.45855487009
2012-12-28,34742.54471327899
2012-12-31,36491.744045392705
2013-01-02,35400.48189262422
2013-01-03,38615.85172990857
2013-01-04,36747.41765004095
2013-01-07,37907.92378679353
2013-01-08,37742.70381965161
2013-01-09,38001.52644207474
2013-01-10,39901.13108596051
2013-01-11,34052.17364098928
2013-01-14,38727.96556484091
2013-01-15,39570.18606897677
2013-01-16,37816.37500727012
2013-01-17,42064.61531345352
2013-01-18,37934.934832226514
2013-01-22,40807.89466521109
2013-01-23,41530.13259483896
2013-01-24,41383.96886618246
2013-01-25,42273.52146986702
2013-01-28,42039.998982707104
2013-01-29,42725.040863963164
2013-01-30,41306.022598113814
2013-01-31,40439.47208556668
2013-02-01,34378.888899673504
2013-02-04,38070.86479919325
2013-02-05,36567.8182463056
2013-02-06,39453.64886031841
2013-02-07,38214.02750331183
2013-02-08,36610.80407403885
2013-02-11,38119.012682581924
2013-02-12,33156.50874976682
2013-02-13,35063.799364434875
2013-02-14,39103.150989626156
2013-02-15,38082.092024514066
2013-02-19,36394.75308884954
2013-02-20,35530.550785691354
2013-02-21,34990.707191473586
2013-02-22,35498.24242650541
2013-02-25,34162.83130236078
2013-02-26,36050.6264735696
2013-02-27,34089.36714051292
2013-02-28,36838.857845696526
2013-03-01,37666.30001457221
2013-03-04,38346.51081152835
2013-03-05,36133.79938931747
2013-03-06,40121.52383770402
2013-03-07,39064.940157068544
2013-03-08,41889.78841039942
2013-03-11,41566.38021088516
2013-03-12,41181.720283640476
2013-03-13,42468.47984880301
2013-03-14,43817.35889377318
2013-03-15,39377.84924067852
2013-03-18,34139.97589016534
2013-03-19,36737.36615657556
2013-03-20,35374.74586731446
