,VaR_MC_GARCH_COPULA_V3
2013-05-16,46725.53590055545
2013-05-17,45244.77578501818
2013-05-20,46349.19577709005
2013-05-21,48556.747129725954
2013-05-22,49118.35229533763
2013-05-23,50124.506165058876
2013-05-24,47192.61380409505
2013-05-28,43378.80536412552
2013-05-29,37649.06223160475
2013-05-30,34165.63439972021
2013-05-31,38963.46024943915
2013-06-03,45177.4401178398
2013-06-04,43965.37790359706
2013-06-05,42638.76191787196
2013-06-06,42318.97899410461
2013-06-07,42022.53853943964
2013-06-10,40192.781716779566
2013-06-11,38945.27598655092
2013-06-12,38347.039261515376
2013-06-13,36858.02976996219
2013-06-14,36785.45076491178
2013-06-17,37164.56903421015
2013-06-18,35579.19107171447
2013-06-19,32194.090150209413
2013-06-20,34056.67837525032
2013-06-21,53000.844913244
2013-06-24,46316.59649201895
2013-06-25,47464.90707010687
2013-06-26,44701.35564238616
2013-06-27,47420.73000893257
2013-06-28,47264.49057137821
2013-07-01,46405.73288502795
2013-07-02,45612.37912699994
2013-07-03,46910.498739168244
2013-07-05,43076.299146287245
2013-07-08,43399.80986372989
2013-07-09,43905.963241397934
2013-07-10,44583.65834761954
2013-07-11,47230.112787247825
2013-07-12,51284.25703199707
2013-07-15,49156.41049953767
2013-07-16,47652.40009739706
2013-07-17,45112.16217260777
2013-07-18,47714.14577837783
2013-07-19,47286.657296734666
2013-07-22,46077.534367882065
2013-07-23,48116.83651608311
2013-07-24,44603.287305516154
2013-07-25,47792.11393429328
2013-07-26,45822.64566257094
2013-07-29,43509.015918097015
2013-07-30,41551.88719299115
2013-07-31,40709.008413072035
2013-08-01,43056.69015617356
2013-08-02,42984.89544974236
2013-08-05,41648.3173818551
2013-08-06,39926.19932413904
2013-08-07,41850.1923701255
2013-08-08,42563.39068617592
2013-08-09,43873.024822401116
2013-08-12,43340.63296987472
2013-08-13,39612.51546685559
2013-08-14,39291.274285659296
2013-08-15,34684.78206867498
2013-08-16,30308.1682251786
2013-08-19,30209.329885492043
2013-08-20,30095.48828153809
2013-08-21,32317.233039725877
2013-08-22,31591.23587641568
2013-08-23,32331.047362391015
2013-08-26,34100.123493689694
2013-08-27,32260.399565877
2013-08-28,31719.40042832937
2013-08-29,31314.682226981808
2013-08-30,30565.739429083114
2013-09-03,31990.109587177994
2013-09-04,32504.82522065589
2013-09-05,31032.038795862034
2013-09-06,32483.438227707982
2013-09-09,32241.206990837956
2013-09-10,32929.51310677007
2013-09-11,32560.436765380146
2013-09-12,31969.736131295285
2013-09-13,33987.562677160124
2013-09-16,33463.505755336766
2013-09-17,34262.59914442068
2013-09-18,36111.45816081355
2013-09-19,42693.717218142636
2013-09-20,40924.43443438948
2013-09-23,41547.70406554787
2013-09-24,40505.47578560026
2013-09-25,40270.53887871412
2013-09-26,40674.34529137674
2013-09-27,38977.02290184043
2013-09-30,38963.22513698746
2013-10-01,39495.12436748072
2013-10-02,39451.34107340705
2013-10-03,34416.154065970135
2013-10-04,34369.419651463846
2013-10-07,33651.18775233496
2013-10-08,32320.958941794743
2013-10-09,31921.042096762903
2013-10-10,33208.06092051454
2013-10-11,34145.21733588806
2013-10-14,33140.0777080567
2013-10-15,31664.676982202436
2013-10-16,32487.276640822023
2013-10-17,25536.45232454972
2013-10-18,42449.18792126033
2013-10-21,41143.696352737075
2013-10-22,41707.83961083523
2013-10-23,43266.25421271904
2013-10-24,42991.60336859925
2013-10-25,42192.06892156309
