,VaR_full,VaR_no_drift,mu_deltaV,sigma_deltaV
2018-05-09,8667.335214583296,8952.120865844023,284.78565126072766,3848.1436786555428
2018-05-10,8670.418230053421,8944.266924393785,273.8486943403648,3844.767596540792
2018-05-11,8660.16118894862,8951.10607558302,290.944886634401,3847.7074626139415
2018-05-14,8569.572356797402,8885.591923758015,316.0195669606136,3819.5456590608005
2018-05-15,8527.375321730426,8856.767532124439,329.3922103940137,3807.155254360274
2018-05-16,8577.833698211442,8895.481572212959,317.6478740015173,3823.796806778345
2018-05-17,8583.403578287878,8893.82627479865,310.42269651077135,3823.0852634048115
2018-05-18,8581.838410039838,8893.851270147845,312.0128601080071,3823.0960078637436
2018-05-21,8587.405597286592,8893.065326767255,305.65972948066405,3822.758163558788
2018-05-22,8561.330504157322,8855.11193138105,293.78142722372905,3806.4435805982093
2018-05-23,8560.710482707987,8854.845980506736,294.135497798748,3806.329259400902
2018-05-24,8562.426307523967,8855.854976703216,293.42866917924965,3806.7629848156344
2018-05-25,8526.798524389824,8795.405043217579,268.60651882775517,3780.7780776741943
2018-05-28,8229.03300317044,8535.887733404654,306.85473023421446,3669.222401625562
2018-05-29,8143.2263096806455,8469.02780445427,325.8014947736242,3640.482104571773
2018-05-30,8184.195063010009,8481.623691901783,297.42862889177354,3645.8965516491285
2018-05-31,8167.363675199255,8459.500654658003,292.13697945874753,3636.3867799203836
2018-06-01,8170.832157623929,8448.079882310425,277.24772468649627,3631.4774658513147
2018-06-04,8170.013408897283,8446.05157405443,276.0381651571479,3630.6055806622467
2018-06-05,8168.6730388465185,8447.20570413417,278.5326652876518,3631.101693084907
2018-06-06,8147.167971920839,8436.43268092971,289.2647090088725,3626.470819377379
2018-06-07,8149.682301328132,8447.121338578767,297.4390372506349,3631.0654278485918
2018-06-08,8146.154353240647,8445.490090844625,299.33573760397843,3630.3642224302857
2018-06-11,8120.635657101356,8407.014648068625,286.3789909672697,3613.8252330532723
2018-06-12,8116.2773139102765,8397.885387188353,281.6080732780765,3609.900944264762
2018-06-13,8127.264162645345,8401.706494377424,274.44233173207874,3611.5434789998762
2018-06-14,8128.917822441376,8399.784911795445,270.8670893540681,3610.7174707302524
2018-06-15,8129.173282086005,8400.684465143084,271.51118305707894,3611.1041512253228
2018-06-18,8178.877461132132,8439.52771446256,260.6502533304271,3627.801245306959
2018-06-19,8198.569045080045,8450.680104425564,252.11105934551966,3632.5951929737944
2018-06-20,8209.94792944485,8458.47137042709,248.52344098223983,3635.944333525157
2018-06-21,8216.90989048151,8460.865241993126,243.95535151161633,3636.973359146281
2018-06-22,8238.282891031842,8471.781541536535,233.49865050469305,3641.665821380851
2018-06-25,8237.589297651864,8478.5909479766,241.00165032473586,3644.592901425951
2018-06-26,8275.938265042772,8507.840276494266,231.90201145149283,3657.165968783611
2018-06-27,8276.622074492432,8504.492887066115,227.8708125736836,3655.7270655716266
2018-06-28,8302.780090621565,8510.030464304804,207.2503736832394,3658.1074392468117
2018-06-29,8309.810117194866,8510.196926927618,200.3868097327528,3658.178994590993
2018-07-02,8291.39703765085,8482.720342031846,191.32330438099652,3646.3679558369113
2018-07-03,8306.966229253507,8490.226212871707,183.25998361819933,3649.5944169021795
2018-07-04,8287.543696643545,8481.045075612514,193.50137896896953,3645.647828620331
2018-07-05,8285.943729000024,8480.796693063136,194.85296406311153,3645.5410593137494
2018-07-06,8290.659369428222,8489.99806054076,199.33869111253793,3649.4963437234032
2018-07-09,8288.876618322234,8498.21073571942,209.33411739718582,3653.026630517697
2018-07-10,8296.608533827892,8515.866855849552,219.25832202166026,3660.6162607390206
2018-07-11,8281.950288618367,8487.918631390121,205.96834277175373,3648.6024837922023
2018-07-12,8353.721513946073,8536.866778388314,183.14526444224063,3669.6432522621258
2018-07-13,8354.51240306752,8539.414922792195,184.9025197246755,3670.7385933468863
2018-07-16,8347.325488480927,8538.541905612803,191.2164171318756,3670.363319644645
2018-07-17,8347.572565687336,8534.517863325284,186.94529763794648,3668.633551568072
2018-07-18,8341.341939994534,8534.514965577697,193.17302558316172,3668.632305947149
2018-07-19,8344.574802625562,8531.309049677666,186.73424705210402,3667.254216308963
2018-07-20,8353.117794241673,8531.485476248934,178.36768200726186,3667.3300547393355
2018-07-23,8339.172222615562,8524.836346995151,185.66412437958937,3664.4718711770324
2018-07-24,8336.347735659001,8524.865692411706,188.51795675270455,3664.484485548633
2018-07-25,8336.45640451074,8526.128960516871,189.67255600613126,3665.0275118600725
2018-07-26,8321.847748715181,8528.03066254021,206.18291382502832,3665.8449743060632
2018-07-27,8313.752842597145,8523.313272947433,209.5604303502871,3663.817165118358
2018-07-30,8304.246575623876,8517.523670411716,213.27709478784033,3661.3284562711897
2018-07-31,8314.070171783207,8519.463576959257,205.3934051760489,3662.162341249953
2018-08-01,8306.746297380252,8517.601655963545,210.85535858329294,3661.361979009856
2018-08-02,8308.427159111032,8518.626910551531,210.19975144049863,3661.8026932295256
2018-08-03,8325.433355243746,8522.927080122885,197.49372487913953,3663.6511569177546
2018-08-06,8317.723884274417,8506.522416878817,188.79853260439992,3656.5994758570137
2018-08-07,8325.352024192662,8510.471704148702,185.11967995603973,3658.2971098669373
2018-08-08,8315.735116877508,8495.131137176886,179.39602029937873,3651.702839447196
2018-08-09,8316.304817760523,8492.035902073068,175.73108431254528,3650.3723268706563
2018-08-10,8299.433512364141,8481.66343378988,182.22992142573838,3645.9136350305694
2018-08-13,8259.203665745139,8446.538390515332,187.334724770193,3630.8148427706074
2018-08-14,8302.189591160684,8467.083820281972,164.8942291212886,3639.6464667920627
2018-08-15,8223.771833411693,8411.21040120637,187.43856779467777,3615.62881246827
2018-08-16,8308.340165259211,8477.101986923635,168.7618216644238,3643.9528591220546
2018-08-17,8308.284805547144,8476.987998677374,168.7031931302301,3643.903860325472
2018-08-20,8274.447493583963,8464.082450033298,189.6349564493352,3638.356302804911
2018-08-21,8279.659857890107,8478.3752052958,198.71534740569464,3644.500162638598
2018-08-22,8279.546111312007,8478.172610888147,198.6264995761397,3644.413075745913
2018-08-23,8222.940805651622,8404.947098514958,182.00629286333566,3612.9364796657246
2018-08-24,8220.12154311154,8381.274647508422,161.1531043968833,3602.760679532524
2018-08-27,8213.467826899228,8393.148474104504,179.6806472052759,3607.8647427418914
2018-08-28,8213.87602612605,8419.693016280975,205.81699015492518,3619.275135174027
2018-08-29,8221.300000891735,8420.398978648453,199.09897775671766,3619.5785989746714
2018-08-30,8222.105634918393,8424.889426601672,202.78379168327947,3621.5088554093722
2018-08-31,8203.217283535068,8410.360380081678,207.1430965466101,3615.2634238115793
2018-09-03,8214.62484361313,8408.764550245447,194.13970663231663,3614.5774430715364
2018-09-04,8209.025472773399,8405.78607655842,196.76060378502035,3613.2971213620176
2018-09-05,8179.014647738448,8381.302807779153,202.2881600407054,3602.772784459326
2018-09-06,8199.029619431993,8389.936202933466,190.90658350147427,3606.4839212375573
2018-09-07,8183.900381304386,8381.679431806358,197.77905050197185,3602.934679432734
2018-09-10,8195.29782116149,8389.553939613485,194.25611845199404,3606.319602167204
2018-09-11,8193.7400435697,8383.40214038545,189.66209681574878,3603.675200056633
2018-09-12,8143.477897402443,8349.047572638932,205.56967523648925,3588.907603116437
2018-09-13,8133.759438369755,8348.758316123423,214.99887775366818,3588.7832637952474
2018-09-14,8128.582129116472,8354.667326792043,226.085197675571,3591.323301222391
2018-09-17,8126.905837501639,8355.229289069423,228.3234515677835,3591.5648653855374
2018-09-18,8124.916758987049,8354.247658441293,229.33089945424348,3591.1429032881724
2018-09-19,8127.157262790009,8357.36491844153,230.20765565152132,3592.4828834497907
2018-09-20,8127.157962041496,8357.335901697343,230.17793965584653,3592.4704103607432
2018-09-21,8134.212881446418,8374.116376664875,239.9034952184574,3599.683637219367
2018-09-24,8130.183022698202,8373.335543063222,243.1525203650201,3599.3479893954254
2018-09-25,8142.729299680937,8379.748863187582,237.01956350664477,3602.1048084403865
2018-09-26,8142.0405133171325,8381.095417792896,239.05490447576358,3602.6836361472565
2018-09-27,8133.546344941672,8376.501955077127,242.95561013545458,3600.709097959298
2018-09-28,8141.102894642648,8379.998133661822,238.89523901917406,3602.211959428861
2018-10-01,8160.34682174075,8390.129122079212,229.7823003384616,3606.566849138366
2018-10-02,8160.187817914687,8388.099942124005,227.91212420931777,3605.694589242136
2018-10-03,8150.907891001085,8384.125723743695,233.21783274260977,3603.98623838685
2018-10-04,8162.882077879018,8390.779193158665,227.89711527964772,3606.8462876035705
2018-10-05,8210.478099952776,8424.201356967642,213.72325701486554,3621.2130829491534
2018-10-08,8206.108429666825,8421.52228788071,215.41385821388562,3620.061462799465
2018-10-09,8220.241191203473,8422.189868653339,201.9486774498648,3620.348427952045
2018-10-10,8221.82741265205,8422.933437785332,201.10602513328112,3620.6680573334843
2018-10-11,8345.583945535855,8526.46955501497,180.8856094791162,3665.1739192404552
2018-10-12,8330.486647836204,8515.546488437141,185.0598406009376,3660.478548139806
2018-10-15,8300.717644002536,8502.544130658569,201.82648665603287,3654.889376406867
2018-10-16,8276.261177091696,8487.30597853396,211.044801442263,3648.3391298617785
2018-10-17,8318.778256159294,8544.538081837962,225.75982567866777,3672.9408259119014
2018-10-18,8310.983207429628,8539.202629038755,228.21942160912727,3670.64733710967
2018-10-19,8391.786088846593,8597.766849504224,205.98076065763027,3695.821654811237
2018-10-22,8333.171831091533,8555.78384684244,222.61201575090664,3677.774911617641
2018-10-23,8341.210216526522,8551.573695063225,210.36347853670287,3675.9651428267416
2018-10-24,8362.596990860264,8560.58377605897,197.98678519870577,3679.8382011497397
2018-10-25,8506.574520210459,8685.86787025246,179.2933500420005,3733.6926120018334
2018-10-26,8517.228235100807,8713.333183081588,196.1049479807809,3745.498805364231
2018-10-29,8544.289296215054,8731.07636922107,186.78707300601425,3753.1258616344794
2018-10-30,8553.89402189485,8731.922524219739,178.02850232488888,3753.489588404715
2018-10-31,8558.54005180041,8742.7937091303,184.2536573298886,3758.1626577387856
2018-11-01,8536.785166155263,8735.252062010646,198.4668958553827,3754.920817941819
2018-11-02,8516.672391201062,8735.536760889314,218.86436968825268,3755.043198124871
2018-11-05,8514.492851749237,8728.66858919843,214.17573744919414,3752.0908573474994
2018-11-06,8518.211059847996,8725.795733513078,207.5846736650819,3750.8559364152475
2018-11-07,8510.919911055726,8713.165374723694,202.24546366796918,3745.4266715446224
2018-11-08,8498.942689717938,8698.242636335031,199.29994661709364,3739.012008219682
2018-11-09,8530.003188868182,8716.029711710507,186.02652284232477,3746.6579306433905
2018-11-12,8548.317425872476,8729.571189062572,181.2537631900968,3752.478847413049
2018-11-13,8649.768767151434,8812.163903671933,162.39513652049908,3787.9820133543917
2018-11-14,8642.101541655378,8794.299281743995,152.19774008861734,3780.302756899549
2018-11-15,8556.279011674336,8734.427599238925,178.14858756458926,3754.5664157559204
2018-11-16,8538.273103131141,8731.479120679303,193.20601754816275,3753.2989877016203
2018-11-19,8532.512593323863,8733.030667056228,200.5180737323652,3753.965932828029
2018-11-20,8551.623622551002,8737.306619792062,185.68299724105975,3755.80398670791
