,VaR_EVT,VaR_EVT_raw,VaR_EVT_mle_raw,xi,xi_raw,xi_clamped,sigma_gpd,N_u,f_u_hat,threshold_u,ks_pvalue,fallback_type,ES_EVT,ES_EVT_raw,ES_EVT_mle_raw,ES_fallback_type
2009-08-31,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-01,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-02,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-03,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-04,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-08,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-09,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-10,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-11,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-14,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-15,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-16,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-17,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-18,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-21,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-22,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-23,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-24,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-09-25,31947.97594311924,31947.97594311924,31947.97594311924,0.10154093609083638,0.10154093609083638,False,6983.614171930458,50,0.9,13832.27468581701,0.9959351575925149,none,41768.23352630825,41768.23352630825,41768.23352630825,none
2009-09-28,31947.97594311924,31947.97594311924,31947.97594311924,0.10154093609083638,0.10154093609083638,False,6983.614171930458,50,0.9,13832.27468581701,0.9959351575925149,none,41768.23352630825,41768.23352630825,41768.23352630825,none
2009-09-29,31947.97594311924,31947.97594311924,31947.97594311924,0.10154093609083638,0.10154093609083638,False,6983.614171930458,50,0.9,13832.27468581701,0.9959351575925149,none,41768.23352630825,41768.23352630825,41768.23352630825,none
